[ 35/1000] wait=True freq=0.44Hz amp=39.6deg Kp=38.2 Kd=8.1 fx=-0.059 fy=-0.000 | fell=True dist=0.96m CoT=0.478 settle_t=2.196s | skipped
[ 36/1000] wait=False freq=0.44Hz amp=39.6deg Kp=38.2 Kd=8.1 fx=-0.059 fy=-0.000 | fell=True dist=0.45m CoT=2.464 settle_t=0.000s | skipped
[ 37/1000] wait=True freq=0.73Hz amp=33.1deg Kp=42.4 Kd=11.0 fx=-0.012 fy=-0.015 | fell=True dist=1.24m CoT=0.683 settle_t=4.442s | skipped
[ 38/1000] wait=False freq=0.73Hz amp=33.1deg Kp=42.4 Kd=11.0 fx=-0.012 fy=-0.015 | fell=True dist=1.05m CoT=0.511 settle_t=0.000s | skipped
[ 39/1000] wait=True freq=0.47Hz amp=33.9deg Kp=41.3 Kd=14.5 fx=-0.063 fy=-0.018 | fell=True dist=0.80m CoT=0.882 settle_t=7.614s | skipped
[ 40/1000] wait=False freq=0.47Hz amp=33.9deg Kp=41.3 Kd=14.5 fx=-0.063 fy=-0.018 | fell=True dist=0.79m CoT=0.892 settle_t=0.000s | skipped
[ 41/1000] wait=True freq=0.51Hz amp=37.1deg Kp=33.4 Kd=3.0 fx=-0.017 fy=0.002 | fell=False dist=0.12m CoT=8.133 settle_t=2.364s | skipped
[ 42/1000] wait=False freq=0.51Hz amp=37.1deg Kp=33.4 Kd=3.0 fx=-0.017 fy=0.002 | fell=False dist=0.23m CoT=3.969 settle_t=0.000s | skipped
[ 43/1000] wait=True freq=0.80Hz amp=34.3deg Kp=35.2 Kd=13.6 fx=0.004 fy=-0.004 | fell=False dist=0.15m CoT=3.664 settle_t=2.908s | skipped
[ 44/1000] wait=False freq=0.80Hz amp=34.3deg Kp=35.2 Kd=13.6 fx=0.004 fy=-0.004 | fell=False dist=0.13m CoT=4.474 settle_t=0.000s | skipped
[ 45/1000] wait=True freq=0.63Hz amp=32.2deg Kp=20.8 Kd=4.0 fx=-0.054 fy=-0.011 | fell=False dist=0.14m CoT=3.411 settle_t=4.920s | skipped
[ 46/1000] wait=False freq=0.63Hz amp=32.2deg Kp=20.8 Kd=4.0 fx=-0.054 fy=-0.011 | fell=False dist=0.24m CoT=1.962 settle_t=0.000s | skipped
[ 47/1000] wait=True freq=0.72Hz amp=22.6deg Kp=35.7 Kd=7.0 fx=-0.070 fy=-0.007 | fell=False dist=0.27m CoT=3.737 settle_t=2.676s | skipped
[ 48/1000] wait=False freq=0.72Hz amp=22.6deg Kp=35.7 Kd=7.0 fx=-0.070 fy=-0.007 | fell=False dist=0.31m CoT=3.525 settle_t=0.000s | skipped
[ 49/1000] wait=True freq=0.65Hz amp=33.5deg Kp=43.5 Kd=2.8 fx=0.008 fy=0.008 | fell=False dist=0.27m CoT=1.516 settle_t=1.000s | skipped
[ 50/1000] wait=False freq=0.65Hz amp=33.5deg Kp=43.5 Kd=2.8 fx=0.008 fy=0.008 | fell=False dist=0.31m CoT=1.345 settle_t=0.000s | skipped
[ 51/1000] wait=True freq=0.73Hz amp=28.3deg Kp=34.6 Kd=6.1 fx=-0.020 fy=0.005 | fell=False dist=0.13m CoT=4.429 settle_t=1.000s | skipped
[ 52/1000] wait=False freq=0.73Hz amp=28.3deg Kp=34.6 Kd=6.1 fx=-0.020 fy=0.005 | fell=False dist=0.15m CoT=3.390 settle_t=0.000s | skipped
[ 53/1000] wait=True freq=0.72Hz amp=21.9deg Kp=23.1 Kd=3.7 fx=-0.042 fy=-0.004 | fell=False dist=0.39m CoT=0.599 settle_t=2.784s | skipped
[ 54/1000] wait=False freq=0.72Hz amp=21.9deg Kp=23.1 Kd=3.7 fx=-0.042 fy=-0.004 | fell=False dist=0.16m CoT=1.403 settle_t=0.000s | skipped
[ 55/1000] wait=True freq=0.55Hz amp=26.2deg Kp=39.1 Kd=10.0 fx=-0.005 fy=-0.018 | fell=True dist=0.68m CoT=0.314 settle_t=7.930s | skipped
[ 56/1000] wait=False freq=0.55Hz amp=26.2deg Kp=39.1 Kd=10.0 fx=-0.005 fy=-0.018 | fell=True dist=0.94m CoT=0.215 settle_t=0.000s | skipped
[ 57/1000] wait=True freq=0.68Hz amp=20.5deg Kp=25.8 Kd=12.1 fx=-0.052 fy=-0.013 | fell=False dist=0.20m CoT=3.707 settle_t=4.638s | skipped
[ 58/1000] wait=False freq=0.68Hz amp=20.5deg Kp=25.8 Kd=12.1 fx=-0.052 fy=-0.013 | fell=False dist=0.32m CoT=2.430 settle_t=0.000s | skipped
[ 59/1000] wait=True freq=0.79Hz amp=38.7deg Kp=30.7 Kd=4.9 fx=-0.056 fy=0.008 | fell=True dist=1.42m CoT=1.414 settle_t=1.000s | skipped
[ 60/1000] wait=False freq=0.79Hz amp=38.7deg Kp=30.7 Kd=4.9 fx=-0.056 fy=0.008 | fell=False dist=0.34m CoT=4.449 settle_t=0.000s | skipped
[ 61/1000] wait=True freq=0.59Hz amp=26.2deg Kp=43.2 Kd=3.4 fx=-0.060 fy=-0.017 | fell=True dist=0.62m CoT=0.302 settle_t=4.354s | skipped
[ 62/1000] wait=False freq=0.59Hz amp=26.2deg Kp=43.2 Kd=3.4 fx=-0.060 fy=-0.017 | fell=True dist=0.43m CoT=1.635 settle_t=0.000s | skipped
[ 63/1000] wait=True freq=0.65Hz amp=32.3deg Kp=24.5 Kd=2.2 fx=-0.046 fy=-0.005 | fell=False dist=0.35m CoT=1.443 settle_t=2.768s | skipped
[ 64/1000] wait=False freq=0.65Hz amp=32.3deg Kp=24.5 Kd=2.2 fx=-0.046 fy=-0.005 | fell=False dist=0.12m CoT=4.433 settle_t=0.000s | skipped
