Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT
-0.063,-0.0135,23.47,7.24,1.638,0.992,36.1,0.408,False,2.549,0.4571
-0.0599,-0.0192,44.32,7.15,1.717,1.123,24.27,0.421,False,2.6702,0.5315
-0.046,-0.0145,44.47,13.99,1.298,1.205,25.85,0.433,False,2.2736,0.6238
-0.0579,-0.006,27.8,14.67,0.999,1.348,32.99,0.515,False,2.4218,0.7874
-0.0687,0.0043,41.51,12.63,0.937,0.819,29.78,0.452,False,2.2627,0.7859
-0.0639,-0.0018,36.71,3.65,1.506,1.379,31.38,0.546,False,2.0901,1.0902
-0.0509,-0.0058,36.09,9.77,1.377,0.749,30.3,0.432,False,2.3287,0.6392
