Amplitude_Deg,Frequency_Hz,Start_Amp_Mult,Start_Freq_Mult,Fell,Distance_Traversed,CoT,Passed
30.0,0.44000000000000006,0.8,0.7,False,0.1142,1.525,False
30.0,0.44000000000000006,0.8,0.7777777777777777,False,0.1692,1.1333,False
30.0,0.44000000000000006,0.8,0.8555555555555555,False,0.1732,0.9269,False
30.0,0.44000000000000006,0.8,0.9333333333333333,False,0.0822,1.9257,False
30.0,0.44000000000000006,0.8,1.011111111111111,False,0.1976,0.6883,False
30.0,0.44000000000000006,0.8,1.0888888888888888,False,0.1876,0.8821,False
30.0,0.44000000000000006,0.8,1.1666666666666665,False,0.1662,1.4818,False
30.0,0.44000000000000006,0.8,1.2444444444444445,False,0.1426,1.7327,False
30.0,0.44000000000000006,0.8,1.3222222222222222,False,0.2156,1.2305,False
30.0,0.44000000000000006,0.8,1.4,False,0.1547,1.1247,False
30.0,0.44000000000000006,0.9111111111111112,0.7,False,0.1528,1.2156,False
30.0,0.44000000000000006,0.9111111111111112,0.7777777777777777,False,0.2449,0.7527,False
30.0,0.44000000000000006,0.9111111111111112,0.8555555555555555,False,0.2605,0.6319,False
30.0,0.44000000000000006,0.9111111111111112,0.9333333333333333,False,0.0666,2.6528,False
30.0,0.44000000000000006,0.9111111111111112,1.011111111111111,True,0.7002,0.3875,False
30.0,0.44000000000000006,0.9111111111111112,1.0888888888888888,False,0.1833,1.3638,False
30.0,0.44000000000000006,0.9111111111111112,1.1666666666666665,False,0.3363,0.8794,False
30.0,0.44000000000000006,0.9111111111111112,1.2444444444444445,False,0.2373,0.9707,False
30.0,0.44000000000000006,0.9111111111111112,1.3222222222222222,False,0.2588,0.666,False
30.0,0.44000000000000006,0.9111111111111112,1.4,False,0.3031,0.4366,False
30.0,0.44000000000000006,1.0222222222222221,0.7,False,0.2753,0.7634,False
30.0,0.44000000000000006,1.0222222222222221,0.7777777777777777,False,0.1132,1.7143,False
30.0,0.44000000000000006,1.0222222222222221,0.8555555555555555,False,0.2774,0.8447,False
30.0,0.44000000000000006,1.0222222222222221,0.9333333333333333,False,0.1666,1.0743,False
30.0,0.44000000000000006,1.0222222222222221,1.011111111111111,False,0.6946,0.6547,False
30.0,0.44000000000000006,1.0222222222222221,1.0888888888888888,False,0.2408,0.8166,False
30.0,0.44000000000000006,1.0222222222222221,1.1666666666666665,False,0.1067,1.9705,False
30.0,0.44000000000000006,1.0222222222222221,1.2444444444444445,False,0.102,2.0563,False
30.0,0.44000000000000006,1.0222222222222221,1.3222222222222222,False,0.2204,0.6943,False
30.0,0.44000000000000006,1.0222222222222221,1.4,False,0.2637,0.6178,False
30.0,0.44000000000000006,1.1333333333333333,0.7,False,0.2722,0.6615,False
30.0,0.44000000000000006,1.1333333333333333,0.7777777777777777,False,0.2566,0.7926,False
30.0,0.44000000000000006,1.1333333333333333,0.8555555555555555,False,0.0407,5.0566,False
30.0,0.44000000000000006,1.1333333333333333,0.9333333333333333,False,0.0934,2.1068,False
30.0,0.44000000000000006,1.1333333333333333,1.011111111111111,False,0.1884,1.0208,False
30.0,0.44000000000000006,1.1333333333333333,1.0888888888888888,False,0.256,0.7017,False
30.0,0.44000000000000006,1.1333333333333333,1.1666666666666665,False,0.2451,0.9967,False
30.0,0.44000000000000006,1.1333333333333333,1.2444444444444445,False,0.2964,0.5456,False
30.0,0.44000000000000006,1.1333333333333333,1.3222222222222222,False,0.1338,1.2986,False
30.0,0.44000000000000006,1.1333333333333333,1.4,False,0.1178,2.0682,False
30.0,0.44000000000000006,1.2444444444444445,0.7,False,0.1762,1.2001,False
30.0,0.44000000000000006,1.2444444444444445,0.7777777777777777,False,0.2684,0.7937,False
30.0,0.44000000000000006,1.2444444444444445,0.8555555555555555,False,0.2559,0.9964,False
30.0,0.44000000000000006,1.2444444444444445,0.9333333333333333,False,0.2646,0.8195,False
30.0,0.44000000000000006,1.2444444444444445,1.011111111111111,False,0.2682,0.8571,False
30.0,0.44000000000000006,1.2444444444444445,1.0888888888888888,False,0.224,1.02,False
30.0,0.44000000000000006,1.2444444444444445,1.1666666666666665,False,0.1936,1.0158,False
30.0,0.44000000000000006,1.2444444444444445,1.2444444444444445,False,0.2888,0.6343,False
30.0,0.44000000000000006,1.2444444444444445,1.3222222222222222,False,0.2339,1.0399,False
30.0,0.44000000000000006,1.2444444444444445,1.4,False,0.1886,1.0464,False
30.0,0.44000000000000006,1.3555555555555556,0.7,False,0.263,1.0308,False
30.0,0.44000000000000006,1.3555555555555556,0.7777777777777777,False,0.3119,0.9459,False
30.0,0.44000000000000006,1.3555555555555556,0.8555555555555555,False,0.2217,0.7286,False
30.0,0.44000000000000006,1.3555555555555556,0.9333333333333333,False,0.1164,1.5413,False
30.0,0.44000000000000006,1.3555555555555556,1.011111111111111,False,0.0761,2.7792,False
30.0,0.44000000000000006,1.3555555555555556,1.0888888888888888,False,0.213,0.9614,False
30.0,0.44000000000000006,1.3555555555555556,1.1666666666666665,False,0.3157,0.6129,False
30.0,0.44000000000000006,1.3555555555555556,1.2444444444444445,False,0.3033,0.6769,False
30.0,0.44000000000000006,1.3555555555555556,1.3222222222222222,False,0.3018,1.1563,False
30.0,0.44000000000000006,1.3555555555555556,1.4,False,0.1504,1.2333,False
30.0,0.44000000000000006,1.4666666666666668,0.7,False,0.2587,1.181,False
30.0,0.44000000000000006,1.4666666666666668,0.7777777777777777,True,1.0308,0.341,False
30.0,0.44000000000000006,1.4666666666666668,0.8555555555555555,True,1.1909,0.1948,False
30.0,0.44000000000000006,1.4666666666666668,0.9333333333333333,False,0.485,0.5729,False
30.0,0.44000000000000006,1.4666666666666668,1.011111111111111,False,0.1254,2.3113,False
30.0,0.44000000000000006,1.4666666666666668,1.0888888888888888,False,0.0628,3.2958,False
30.0,0.44000000000000006,1.4666666666666668,1.1666666666666665,False,0.2645,0.7346,False
30.0,0.44000000000000006,1.4666666666666668,1.2444444444444445,False,0.2561,0.8026,False
30.0,0.44000000000000006,1.4666666666666668,1.3222222222222222,False,0.1735,1.1284,False
30.0,0.44000000000000006,1.4666666666666668,1.4,True,1.0342,0.2545,False
30.0,0.44000000000000006,1.5777777777777777,0.7,False,0.134,2.5327,False
30.0,0.44000000000000006,1.5777777777777777,0.7777777777777777,True,1.1514,0.3479,False
30.0,0.44000000000000006,1.5777777777777777,0.8555555555555555,False,0.178,2.1206,False
30.0,0.44000000000000006,1.5777777777777777,0.9333333333333333,True,0.8497,0.2807,False
30.0,0.44000000000000006,1.5777777777777777,1.011111111111111,False,0.0692,4.2775,False
30.0,0.44000000000000006,1.5777777777777777,1.0888888888888888,False,0.1358,1.3587,False
30.0,0.44000000000000006,1.5777777777777777,1.1666666666666665,False,0.1767,1.4931,False
30.0,0.44000000000000006,1.5777777777777777,1.2444444444444445,False,0.2301,0.914,False
30.0,0.44000000000000006,1.5777777777777777,1.3222222222222222,False,0.2733,0.7136,False
30.0,0.44000000000000006,1.5777777777777777,1.4,False,0.2204,1.0111,False
30.0,0.44000000000000006,1.6888888888888889,0.7,False,0.109,3.1129,False
30.0,0.44000000000000006,1.6888888888888889,0.7777777777777777,True,1.1118,0.3191,False
30.0,0.44000000000000006,1.6888888888888889,0.8555555555555555,False,0.8063,0.5906,False
30.0,0.44000000000000006,1.6888888888888889,0.9333333333333333,False,0.2676,0.6319,False
30.0,0.44000000000000006,1.6888888888888889,1.011111111111111,False,0.0242,12.233,False
30.0,0.44000000000000006,1.6888888888888889,1.0888888888888888,False,0.065,3.7286,False
30.0,0.44000000000000006,1.6888888888888889,1.1666666666666665,False,0.119,1.7746,False
30.0,0.44000000000000006,1.6888888888888889,1.2444444444444445,False,0.2022,1.0042,False
30.0,0.44000000000000006,1.6888888888888889,1.3222222222222222,False,0.079,2.5893,False
30.0,0.44000000000000006,1.6888888888888889,1.4,False,0.302,0.6923,False
30.0,0.44000000000000006,1.8,0.7,False,0.3173,1.3108,False
30.0,0.44000000000000006,1.8,0.7777777777777777,False,0.2278,1.4229,False
30.0,0.44000000000000006,1.8,0.8555555555555555,False,0.7305,0.6227,False
30.0,0.44000000000000006,1.8,0.9333333333333333,False,0.1566,1.5168,False
30.0,0.44000000000000006,1.8,1.011111111111111,False,0.165,1.9253,False
30.0,0.44000000000000006,1.8,1.0888888888888888,False,0.0797,3.5497,False
30.0,0.44000000000000006,1.8,1.1666666666666665,False,0.2372,0.9323,False
30.0,0.44000000000000006,1.8,1.2444444444444445,False,0.2318,1.1261,False
30.0,0.44000000000000006,1.8,1.3222222222222222,False,0.2653,1.0371,False
30.0,0.44000000000000006,1.8,1.4,False,0.1282,1.6646,False
30.0,0.45157894736842114,0.8,0.7,False,0.032,5.8076,False
30.0,0.45157894736842114,0.8,0.7777777777777777,False,0.2573,0.6333,False
30.0,0.45157894736842114,0.8,0.8555555555555555,False,0.2437,0.6243,False
30.0,0.45157894736842114,0.8,0.9333333333333333,False,0.1993,0.7639,False
30.0,0.45157894736842114,0.8,1.011111111111111,False,0.1221,2.0684,False
30.0,0.45157894736842114,0.8,1.0888888888888888,False,0.1976,0.7019,False
30.0,0.45157894736842114,0.8,1.1666666666666665,False,0.2266,0.7094,False
30.0,0.45157894736842114,0.8,1.2444444444444445,False,0.1414,1.3765,False
30.0,0.45157894736842114,0.8,1.3222222222222222,False,0.2645,0.4985,False
30.0,0.45157894736842114,0.8,1.4,False,0.3221,0.4348,False
30.0,0.45157894736842114,0.9111111111111112,0.7,False,0.0708,2.8961,False
30.0,0.45157894736842114,0.9111111111111112,0.7777777777777777,False,0.1482,1.1231,False
30.0,0.45157894736842114,0.9111111111111112,0.8555555555555555,False,0.2928,0.5222,False
30.0,0.45157894736842114,0.9111111111111112,0.9333333333333333,False,0.2431,0.8699,False
30.0,0.45157894736842114,0.9111111111111112,1.011111111111111,True,0.7689,0.2474,False
30.0,0.45157894736842114,0.9111111111111112,1.0888888888888888,False,0.2199,1.1678,False
30.0,0.45157894736842114,0.9111111111111112,1.1666666666666665,False,0.1862,0.8577,False
30.0,0.45157894736842114,0.9111111111111112,1.2444444444444445,False,0.2822,0.5295,False
30.0,0.45157894736842114,0.9111111111111112,1.3222222222222222,False,0.3085,0.5502,False
30.0,0.45157894736842114,0.9111111111111112,1.4,False,0.2962,0.516,False
30.0,0.45157894736842114,1.0222222222222221,0.7,False,0.2471,0.774,False
30.0,0.45157894736842114,1.0222222222222221,0.7777777777777777,False,0.2536,0.6876,False
30.0,0.45157894736842114,1.0222222222222221,0.8555555555555555,False,0.1583,1.0946,False
30.0,0.45157894736842114,1.0222222222222221,0.9333333333333333,False,0.2795,0.5463,False
30.0,0.45157894736842114,1.0222222222222221,1.011111111111111,False,0.1773,0.9918,False
30.0,0.45157894736842114,1.0222222222222221,1.0888888888888888,False,0.2826,0.623,False
30.0,0.45157894736842114,1.0222222222222221,1.1666666666666665,False,0.1863,0.9309,False
30.0,0.45157894736842114,1.0222222222222221,1.2444444444444445,False,0.2135,0.8771,False
30.0,0.45157894736842114,1.0222222222222221,1.3222222222222222,False,0.2516,0.9312,False
30.0,0.45157894736842114,1.0222222222222221,1.4,False,0.2823,0.5827,False
30.0,0.45157894736842114,1.1333333333333333,0.7,False,0.3405,0.5815,False
30.0,0.45157894736842114,1.1333333333333333,0.7777777777777777,False,0.0997,1.9747,False
30.0,0.45157894736842114,1.1333333333333333,0.8555555555555555,False,0.1673,1.1936,False
30.0,0.45157894736842114,1.1333333333333333,0.9333333333333333,False,0.1547,1.1785,False
30.0,0.45157894736842114,1.1333333333333333,1.011111111111111,False,0.1417,1.3352,False
30.0,0.45157894736842114,1.1333333333333333,1.0888888888888888,False,0.2139,0.8,False
30.0,0.45157894736842114,1.1333333333333333,1.1666666666666665,False,0.1825,1.2416,False
30.0,0.45157894736842114,1.1333333333333333,1.2444444444444445,False,0.2236,0.816,False
30.0,0.45157894736842114,1.1333333333333333,1.3222222222222222,False,0.2711,0.6382,False
30.0,0.45157894736842114,1.1333333333333333,1.4,False,0.1648,1.4682,False
30.0,0.45157894736842114,1.2444444444444445,0.7,False,0.2812,0.7819,False
30.0,0.45157894736842114,1.2444444444444445,0.7777777777777777,False,0.181,1.074,False
30.0,0.45157894736842114,1.2444444444444445,0.8555555555555555,False,0.2528,0.734,False
30.0,0.45157894736842114,1.2444444444444445,0.9333333333333333,False,0.2417,1.2136,False
30.0,0.45157894736842114,1.2444444444444445,1.011111111111111,False,0.1624,1.3073,False
30.0,0.45157894736842114,1.2444444444444445,1.0888888888888888,False,0.196,1.2245,False
30.0,0.45157894736842114,1.2444444444444445,1.1666666666666665,False,0.2259,0.7299,False
30.0,0.45157894736842114,1.2444444444444445,1.2444444444444445,False,0.1119,2.1127,False
30.0,0.45157894736842114,1.2444444444444445,1.3222222222222222,False,0.2876,0.8833,False
30.0,0.45157894736842114,1.2444444444444445,1.4,False,0.2516,0.8591,False
30.0,0.45157894736842114,1.3555555555555556,0.7,True,0.6675,0.3012,False
30.0,0.45157894736842114,1.3555555555555556,0.7777777777777777,False,0.1257,2.3085,False
30.0,0.45157894736842114,1.3555555555555556,0.8555555555555555,False,0.195,0.9441,False
30.0,0.45157894736842114,1.3555555555555556,0.9333333333333333,False,0.1175,1.7073,False
30.0,0.45157894736842114,1.3555555555555556,1.011111111111111,False,0.1113,2.0213,False
30.0,0.45157894736842114,1.3555555555555556,1.0888888888888888,False,0.2846,0.7359,False
30.0,0.45157894736842114,1.3555555555555556,1.1666666666666665,False,0.299,0.6105,False
30.0,0.45157894736842114,1.3555555555555556,1.2444444444444445,False,0.2732,0.7376,False
30.0,0.45157894736842114,1.3555555555555556,1.3222222222222222,False,0.2358,0.7832,False
30.0,0.45157894736842114,1.3555555555555556,1.4,False,0.3064,0.6008,False
30.0,0.45157894736842114,1.4666666666666668,0.7,False,0.2423,1.2525,False
30.0,0.45157894736842114,1.4666666666666668,0.7777777777777777,True,0.8566,0.2438,False
30.0,0.45157894736842114,1.4666666666666668,0.8555555555555555,False,0.1719,1.6975,False
30.0,0.45157894736842114,1.4666666666666668,0.9333333333333333,False,0.0596,4.9771,False
30.0,0.45157894736842114,1.4666666666666668,1.011111111111111,False,0.3798,0.8488,False
30.0,0.45157894736842114,1.4666666666666668,1.0888888888888888,False,0.2027,0.9135,False
30.0,0.45157894736842114,1.4666666666666668,1.1666666666666665,False,0.268,0.7526,False
