Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT
-0.0609,0.0014,32.93,10.69,1.665,1.208,39.01,0.528,False,2.1576,1.1648
-0.063,-0.0135,23.47,7.24,1.638,0.992,36.1,0.408,False,2.437,0.4665
-0.0547,-0.0053,26.3,13.2,0.993,1.02,33.96,0.485,False,2.5177,0.658
-0.0474,0.0096,25.3,14.79,1.597,0.874,31.05,0.419,False,2.2052,0.5443
-0.0573,0.0064,41.06,6.09,1.357,0.714,31.96,0.776,False,2.1362,1.2482
-0.0431,0.0012,37.68,2.99,1.074,0.809,37.82,0.664,False,3.2909,1.3877
-0.0599,-0.0192,44.32,7.15,1.717,1.123,24.27,0.421,False,2.3826,0.5891
-0.059,-0.0082,24.94,8.92,1.523,1.034,37.36,0.427,False,2.6297,0.5602
-0.046,-0.0145,44.47,13.99,1.298,1.205,25.85,0.433,False,2.2534,0.6461
