Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT
0.0232,-0.0096,24.7,2.92,0.953,1.297,20.06,0.705,False,0.097,0.3964
0.0227,-0.0181,35.55,12.52,1.694,1.019,20.57,0.565,True,0.7595,0.0009
-0.0038,0.0085,41.34,6.17,0.918,1.305,26.8,0.785,False,0.0734,6.8184
-0.0196,-0.0052,37.8,3.51,1.231,1.337,21.21,0.453,False,0.1871,1.7172
-0.0504,-0.0146,36.44,6.4,1.713,1.004,23.76,0.491,True,0.7562,0.385
0.0151,0.0022,35.03,12.71,0.803,0.906,21.49,0.782,False,0.2669,1.236
-0.0646,0.0064,40.07,8.25,1.514,1.224,30.4,0.478,True,0.8858,0.3772
-0.0233,-0.0033,42.52,6.52,1.719,0.792,27.43,0.589,False,0.1668,6.966
-0.0672,0.0052,41.21,12.45,1.106,0.959,27.65,0.583,True,0.6736,1.108
-0.0442,-0.0024,31.19,3.1,1.326,0.909,38.22,0.411,True,0.5486,0.6504
-0.0229,0.0025,23.82,8.86,1.366,1.057,32.33,0.609,False,0.28,2.9564
-0.0366,0.0036,23.53,14.21,1.467,1.255,24.47,0.483,False,0.208,3.5766
-0.0633,-0.0163,43.93,3.28,1.352,0.957,37.96,0.538,True,0.0288,12.3486
-0.0242,-0.0003,21.13,5.14,1.656,1.116,24.08,0.642,False,0.1361,1.5253
-0.0478,-0.0194,30.31,9.88,1.483,0.901,35.6,0.546,True,0.1847,0.9814
-0.0136,-0.0073,34.94,5.85,1.007,1.053,33.21,0.64,False,0.2995,2.7671
0.007,-0.0051,23.86,11.8,1.387,1.08,30.91,0.436,False,0.2191,1.9521
-0.0085,0.0031,42.15,5.05,0.861,1.333,28.12,0.763,False,0.1203,4.5938
-0.0485,0.0051,20.44,3.25,1.611,0.872,28.43,0.529,False,0.3618,1.0495
-0.065,0.0011,40.57,6.06,1.666,0.919,26.22,0.738,False,0.1523,11.4603
-0.0095,-0.0177,31.36,5.57,1.599,0.944,23.24,0.749,False,0.2829,1.1212
-0.0523,-0.0121,42.26,13.14,1.674,1.247,37.43,0.543,True,0.4506,0.4267
0.0179,0.0058,20.35,9.73,1.25,0.715,28.52,0.506,False,0.0506,4.198
0.0002,-0.0044,40.95,10.6,1.163,1.385,22.74,0.53,False,0.1112,4.1055
-0.0262,-0.0133,40.78,5.43,1.013,0.916,25.71,0.425,False,0.4893,1.6997
-0.0202,-0.0018,43.81,4.77,1.557,1.204,37.02,0.523,True,1.1807,1.3356
-0.0216,-0.008,35.9,12.01,1.607,0.917,24.25,0.608,True,0.4591,0.3619
-0.0313,-0.0072,28.47,2.71,1.505,1.164,24.95,0.698,False,0.1209,2.2025
-0.0698,-0.0113,25.6,12.92,1.377,1.227,34.95,0.505,True,0.6734,1.7979
-0.068,0.0092,20.18,2.18,1.356,1.095,31.71,0.449,True,0.7562,0.178
-0.0274,0.003,35.77,6.29,1.424,0.952,39.11,0.634,False,0.4213,3.4092
-0.0022,0.0025,41.74,4.88,1.613,1.216,29.38,0.603,False,0.1661,3.8803
-0.0318,-0.01,20.91,3.96,0.939,1.142,36.78,0.464,True,0.6946,0.2022
-0.04,-0.0053,30.21,9.26,1.589,1.137,31.96,0.443,False,0.2032,5.3356
-0.0087,-0.0191,33.28,14.38,1.165,1.025,31.22,0.404,True,0.8219,0.0634
0.0104,0.0096,24.57,12.61,0.831,0.87,24.19,0.45,False,0.0736,3.3812
0.0146,-0.0117,37.87,2.41,0.966,0.78,26.12,0.453,False,0.0934,2.4594
-0.0315,0.0046,40.96,11.85,0.822,0.832,29.55,0.505,False,0.2244,7.0868
-0.0204,-0.007,26.26,12.74,1.627,0.723,37.24,0.668,True,0.6175,0.9592
-0.0505,0.0039,33.83,10.39,0.989,1.26,31.12,0.723,True,0.5424,1.6467
0.0119,-0.0112,26.93,13.63,1.724,0.813,37.21,0.67,False,0.3821,1.9251
-0.0537,-0.0082,44.05,2.83,1.048,1.01,30.95,0.628,False,0.1085,22.352
-0.0059,-0.0131,29.79,4.56,1.421,1.032,29.91,0.642,False,0.1144,2.6578
0.0207,0.0014,36.83,13.32,1.018,1.394,22.25,0.465,False,0.115,2.3479
-0.0695,-0.007,21.86,14.43,1.601,1.085,34.31,0.471,True,0.7904,0.3889
0.0094,0.0052,28.18,9.51,1.687,1.174,34.53,0.792,False,0.1033,4.502
-0.0114,-0.0084,30.08,10.4,1.057,0.888,34.42,0.534,False,0.8217,1.3072
0.0212,0.0041,34.4,14.76,1.137,1.276,33.14,0.558,False,0.2753,2.1726
-0.0208,-0.0013,21.8,10.65,0.921,1.329,33.01,0.437,False,0.0674,10.591
-0.0449,-0.0086,20.29,8.94,1.253,0.987,35.2,0.71,False,0.3162,4.7548
-0.0025,0.0023,27.43,14.64,1.246,0.748,30.11,0.416,False,0.4143,1.6761
0.0044,0.0029,34.06,9.82,1.319,0.719,24.44,0.755,False,0.2028,1.9939
-0.051,-0.0066,28.32,4.59,1.638,0.966,20.22,0.707,False,0.1441,2.4682
-0.0267,0.0045,26.67,4.92,1.356,0.75,37.48,0.567,False,0.2058,4.1646
-0.0582,-0.0066,23.46,13.18,1.088,0.777,25.22,0.74,False,0.2468,6.3456
0.0161,0.0039,44.08,14.93,1.195,1.37,32.46,0.414,False,0.8692,0.8038
0.0193,-0.004,43.53,2.63,1.065,1.272,22.51,0.618,False,0.0733,2.0136
0.011,0.0089,21.53,12.58,1.026,1.4,25.57,0.658,False,0.1849,2.2641
-0.0191,-0.0099,35.44,5.46,1.708,1.027,31.15,0.54,False,0.3097,2.9369
-0.0142,0.0068,34.63,7.94,0.94,1.274,32.86,0.603,False,0.1555,6.2945
-0.0424,-0.0125,25.31,5.56,0.971,0.837,24.85,0.703,False,0.1156,3.5754
0.0086,0.0048,44.45,13.42,0.899,0.829,37.78,0.637,False,0.1829,4.0998
0.0237,0.0032,28.42,9.32,1.314,1.353,34.2,0.654,False,0.2593,1.3611
0.016,-0.016,33.13,13.77,0.808,1.212,20.64,0.512,True,0.7767,0.0299
-0.0215,0.0086,27.93,14.47,1.401,1.342,21.78,0.596,False,0.228,3.2844
-0.0174,0.0039,29.04,7.58,1.135,1.039,27.81,0.55,False,0.0616,8.6094
-0.0334,-0.0196,42.06,8.48,1.743,0.863,31.63,0.766,True,0.7149,0.5584
-0.0118,0.0098,39.59,9.65,1.621,0.751,30.48,0.687,False,0.16,5.7234
0.0149,-0.0137,44.74,8.1,1.297,0.989,28.66,0.682,False,0.1374,3.0141
-0.0363,0.0073,23.32,3.42,1.307,0.969,35.89,0.44,False,0.5844,1.115
-0.0473,-0.0043,37.1,12.23,0.999,1.397,23.89,0.716,False,0.3356,4.1269
-0.0149,-0.0198,36.47,6.94,1.2,1.018,26.85,0.736,True,0.7607,0.023
-0.0098,0.006,41.03,3.21,1.572,1.04,20.11,0.423,False,0.1433,2.6196
-0.0428,0.0041,36.86,13.69,1.153,1.102,27.05,0.747,False,0.2894,5.6577
-0.0615,0.0036,39.17,8.56,0.875,0.968,31.43,0.654,False,2.4467,0.7458
-0.0007,-0.0106,38.97,10.29,1.262,0.848,27.94,0.73,False,0.1737,3.8154
-0.0676,0.005,28.92,14.02,1.049,0.735,21.66,0.451,False,0.338,1.9748
-0.0651,-0.0165,44.97,7.1,1.53,1.054,21.98,0.764,True,0.7027,0.4601
0.0008,0.0067,31.63,4.28,0.93,1.146,33.63,0.421,False,0.3927,1.5074
-0.0384,-0.0095,25.58,3.35,1.667,0.939,29.6,0.639,False,0.187,2.3424
-0.0388,0.0023,37.96,4.31,1.616,1.286,25.95,0.69,False,0.5087,1.6755
-0.0349,-0.0068,40.52,8.63,1.491,1.068,20.53,0.655,False,0.2853,2.7214
-0.0599,-0.0099,40.87,7.28,1.234,0.812,21.75,0.52,False,0.3543,3.1235
0.02,-0.0063,23.73,10.77,1.03,1.296,33.56,0.627,False,0.2586,1.3492
-0.021,-0.0166,33.63,11.12,1.245,1.151,27.25,0.56,True,0.6271,0.3084
0.0205,-0.0047,25.43,12.37,0.882,0.892,29.11,0.495,False,0.2025,1.621
-0.0159,-0.0012,37.67,2.79,1.215,1.144,37.61,0.461,True,0.0241,65.3654
0.0132,-0.0173,24.5,4.7,1.096,0.942,25.51,0.76,True,0.7806,0.0134
0.0144,-0.0061,27.32,8.06,1.489,0.84,33.41,0.739,False,0.1375,2.8263
-0.0004,-0.0067,23.8,9.29,1.44,0.887,30.8,0.649,False,0.318,1.7246
0.0059,-0.0144,32.26,2.24,1.571,1.25,21.19,0.751,False,0.1215,0.7946
-0.02,-0.015,39.25,6.55,1.587,1.109,35.43,0.712,True,0.8004,0.8956
0.0218,0.002,23.62,13.46,0.874,0.926,23.52,0.77,False,0.1818,1.741
-0.0291,-0.0089,24.41,3.62,1.161,1.251,39.58,0.461,True,0.8059,0.8743
-0.0595,-0.015,22.02,4.44,0.963,0.949,23.04,0.493,False,0.2489,0.9547
-0.0447,-0.012,29.65,8.28,1.071,1.311,23.33,0.717,False,0.0862,8.3646
-0.0053,-0.0043,42.8,12.29,1.532,1.014,33.47,0.582,False,0.5202,2.0266
-0.041,-0.0107,30.19,8.08,1.563,1.38,24.08,0.672,False,0.2308,3.156
-0.0062,0.003,31.68,7.03,1.468,1.234,28.76,0.595,False,0.143,3.1302
-0.0072,-0.0179,24.26,7.82,1.677,1.065,38.41,0.782,True,0.7306,0.6242
-0.0099,-0.0122,43.23,13.99,0.881,1.323,28.71,0.462,True,0.392,0.6524
-0.0351,0.0079,22.9,4.25,1.179,0.822,39.06,0.657,False,0.2707,2.9409
-0.0279,0.0026,25.49,7.15,1.555,1.206,32.3,0.615,False,0.0701,10.6607
-0.0305,0.0067,42.66,2.12,1.759,0.945,28.88,0.775,False,0.162,6.0177
-0.0305,0.0015,42.96,6.8,0.943,1.194,30.51,0.653,True,0.9817,0.4657
-0.0529,-0.0001,42.43,10.84,1.539,1.137,28.95,0.486,True,0.686,0.6265
-0.0586,-0.0001,34.19,14.62,1.067,0.737,33.51,0.47,True,0.8771,0.3095
-0.0292,-0.0159,23.98,10.87,1.518,0.778,21.34,0.591,False,0.1892,2.5347
-0.048,0.0012,20.78,12.27,1.686,1.17,38.85,0.469,True,0.8157,0.3884
0.0118,-0.0137,43.28,14.87,1.103,1.274,24.76,0.721,True,0.8835,0.4496
0.0065,-0.0014,40.42,2.95,1.363,1.332,28.52,0.648,False,0.2794,1.0088
-0.0193,-0.0034,24.36,4.65,0.809,1.0,22.88,0.442,False,0.0662,2.4944
-0.0439,-0.0132,36.19,2.6,1.241,1.077,31.87,0.744,True,0.7888,0.4816
-0.0079,-0.0111,36.54,7.32,0.901,0.89,36.41,0.798,False,0.1422,5.4707
-0.0249,-0.0045,29.88,2.98,1.569,0.772,35.49,0.483,False,0.2462,4.0542
-0.0341,-0.0069,23.3,7.84,1.316,0.972,30.67,0.454,False,0.2444,2.5982
-0.0271,-0.0077,35.69,5.66,0.821,0.904,39.74,0.426,True,0.7104,0.3139
0.0223,-0.0168,39.31,14.17,1.155,0.893,26.61,0.542,True,0.7895,0.0365
-0.0389,-0.0079,23.22,6.81,1.151,1.229,29.25,0.509,False,0.19,3.2586
-0.037,0.0013,31.13,9.02,1.775,0.937,27.72,0.581,False,0.2609,3.9413
-0.0006,-0.0058,33.96,14.6,1.23,1.294,36.23,0.496,True,0.4043,1.8109
0.0089,-0.0161,28.98,10.34,1.623,0.985,27.38,0.61,True,0.6316,0.6464
-0.0012,-0.0041,30.66,14.67,1.549,1.302,22.39,0.569,False,0.1431,3.2669
-0.062,-0.0124,21.33,9.7,1.701,1.267,38.99,0.589,True,0.469,0.502
-0.0378,0.0017,34.58,8.52,1.457,1.21,23.66,0.776,False,0.201,4.5724
0.0149,-0.0037,44.16,11.58,1.456,1.245,31.03,0.797,False,0.122,3.4557
0.0195,-0.0169,39.96,11.84,1.662,0.908,20.74,0.554,True,0.7903,0.0424
-0.005,-0.012,38.15,2.08,1.277,0.816,25.27,0.651,False,0.1243,2.2261
-0.0336,-0.0032,42.3,10.08,1.626,1.269,32.48,0.575,True,0.2261,5.515
-0.052,-0.0105,41.77,11.39,1.223,1.03,38.7,0.418,True,0.6101,0.4559
0.01,-0.0107,20.59,10.44,1.688,1.312,27.11,0.67,False,0.1558,2.2943
-0.025,-0.0189,35.64,4.5,1.208,1.107,25.37,0.674,False,0.3082,1.8068
-0.0407,-0.0173,27.09,5.63,1.561,0.773,31.37,0.468,False,0.209,4.0198
-0.0188,-0.0006,30.59,2.57,1.051,0.713,29.35,0.74,False,0.0984,3.5791
0.0138,0.0094,32.93,10.81,1.681,1.058,28.64,0.573,False,0.1826,2.5986
-0.061,0.0027,21.73,3.6,0.923,0.711,36.16,0.617,False,0.2296,3.7684
-0.0255,0.0055,29.69,12.98,1.209,0.779,31.49,0.722,False,0.2042,6.1991
0.0061,0.0001,33.44,2.75,1.083,1.193,34.47,0.716,False,0.167,1.7009
0.0031,-0.0144,25.27,2.6,1.741,1.374,37.17,0.562,False,0.2835,1.2161
-0.0346,0.0038,35.13,5.97,1.211,0.86,39.97,0.414,True,0.4033,3.206
0.0106,0.0077,20.05,3.14,0.974,0.837,36.87,0.559,False,0.082,1.975
-0.0539,-0.0162,44.92,5.74,1.768,0.766,21.11,0.539,False,0.3031,3.5136
-0.0076,-0.0193,25.37,6.36,1.411,1.125,20.29,0.521,True,0.7532,0.0079
-0.0282,-0.0104,25.89,8.75,0.877,0.962,30.73,0.71,False,0.219,4.3892
0.0088,-0.0187,29.19,2.87,1.383,0.973,23.87,0.596,True,0.7413,0.0
0.0034,-0.0046,43.01,13.84,1.002,1.242,37.83,0.679,False,0.2253,3.6198
-0.0105,0.0013,36.1,5.6,1.503,0.724,28.33,0.609,False,0.0875,6.0257
-0.034,0.0014,22.94,3.65,1.458,0.735,30.31,0.629,False,0.1115,3.6334
-0.0547,-0.0091,21.0,7.39,1.509,1.11,27.31,0.762,False,0.1529,4.9088
-0.0611,0.0016,20.05,5.78,0.977,0.843,39.68,0.537,False,0.8381,1.394
0.0021,0.0024,34.87,4.36,1.395,1.383,27.72,0.426,False,0.097,3.7034
-0.009,-0.003,36.15,14.77,1.787,0.732,38.34,0.557,False,0.355,3.793
-0.0386,0.0037,37.7,6.61,1.798,1.367,30.68,0.728,False,0.0577,22.9107
0.0099,0.0076,26.18,13.53,1.006,1.331,39.25,0.675,False,0.2543,2.4217
0.0214,-0.0082,31.71,9.34,1.71,1.309,23.7,0.668,False,0.0719,2.873
-0.0077,-0.0009,37.2,4.17,0.908,1.023,37.9,0.729,False,0.0985,6.7425
0.0143,-0.0026,34.49,4.82,1.244,1.112,24.4,0.503,False,0.0722,1.7815
-0.0671,0.0089,42.36,9.57,1.358,0.987,31.56,0.412,True,1.0867,0.377
-0.0689,-0.0093,31.82,12.87,0.885,0.791,35.19,0.69,True,0.2424,3.147
0.0074,-0.0129,41.85,6.28,1.283,1.168,25.46,0.552,False,0.133,2.6346
0.0164,-0.0151,29.84,11.06,0.851,0.709,38.37,0.791,True,0.9936,0.8194
-0.045,0.0095,21.76,13.03,1.659,0.804,34.67,0.702,False,0.3753,4.7852
-0.0092,-0.0102,41.59,5.98,1.202,0.906,26.33,0.463,True,0.2585,1.4512
-0.0259,-0.0146,38.01,9.25,1.739,0.932,26.83,0.525,True,0.5831,0.2294
0.0167,0.0028,20.37,6.95,0.819,1.117,22.83,0.734,False,0.1095,1.0143
0.0063,-0.0139,30.37,7.17,1.042,0.762,24.84,0.783,False,0.2243,1.1103
0.014,-0.0025,31.06,9.64,1.123,0.883,20.89,0.731,False,0.1561,1.0908
0.0176,0.0074,35.39,12.34,1.493,1.2,22.15,0.532,False,0.0954,2.8849
0.019,-0.0097,27.04,12.76,1.45,1.149,29.83,0.764,False,0.0688,6.0044
-0.0252,-0.0115,30.77,8.36,1.281,1.263,37.56,0.666,True,0.8568,0.3632
-0.0452,-0.001,27.16,3.46,1.538,1.343,36.54,0.468,True,0.9721,1.0602
0.0102,-0.0166,22.69,4.07,1.748,0.93,37.75,0.742,True,0.6213,0.1426
-0.0434,-0.0147,42.01,2.46,1.185,1.366,28.97,0.556,True,0.4443,0.6702
-0.063,0.0008,35.24,13.24,1.758,1.314,20.95,0.565,False,0.3634,3.0348
-0.0578,0.0033,38.24,3.73,1.219,0.94,32.82,0.662,False,3.548,0.7274
0.0082,-0.0058,44.25,12.85,1.018,1.013,33.19,0.772,False,0.276,2.1252
-0.0574,-0.0101,27.7,13.67,1.644,1.012,21.16,0.687,False,0.3961,2.9682
-0.01,-0.0198,27.26,13.51,1.039,1.0,32.58,0.765,True,0.7521,0.0123
-0.0677,-0.0154,39.76,5.87,0.925,0.91,21.43,0.768,False,0.1594,5.9611
0.0006,0.0031,29.41,10.95,1.795,0.964,26.04,0.726,False,0.1122,4.4392
-0.049,-0.0086,34.76,2.2,1.074,0.902,20.16,0.435,False,0.5403,1.1824
-0.0598,-0.0048,21.16,12.43,1.069,0.706,27.53,0.569,True,0.6863,0.4616
-0.0125,-0.0157,22.52,9.95,1.389,1.064,36.73,0.771,False,0.3326,3.0601
-0.0184,-0.0129,41.89,4.75,0.936,0.828,23.74,0.76,False,0.1437,3.1316
-0.0221,0.0047,28.0,3.94,1.781,0.856,38.17,0.625,False,0.1536,5.6175
0.0203,-0.0177,44.13,11.21,1.097,0.896,34.48,0.78,True,0.759,0.0028
0.0221,-0.0083,23.19,11.33,1.224,0.742,29.18,0.707,False,0.1513,2.1837
-0.0174,-0.0018,39.0,2.9,0.844,1.042,38.92,0.536,True,0.3078,1.6375
-0.0021,-0.0128,21.4,8.38,1.552,1.187,27.61,0.598,False,0.1987,1.7489
0.0122,0.0078,40.15,13.57,1.322,1.282,37.48,0.424,False,0.0912,10.2452
0.0157,-0.0154,37.93,5.51,1.737,0.77,26.28,0.693,True,0.8302,0.1088
-0.0462,-0.0074,32.83,4.31,1.531,0.992,20.42,0.623,False,0.1565,2.7578
-0.0551,-0.0164,32.34,5.35,1.119,1.222,29.47,0.733,False,0.1798,6.2074
0.0112,-0.0135,36.24,8.17,1.725,1.246,36.25,0.79,False,0.2934,1.7439
-0.0499,-0.0004,35.0,6.25,1.12,0.853,35.02,0.665,False,1.8148,1.2551
-0.0434,-0.0138,25.54,9.45,1.19,0.937,32.73,0.489,True,0.7329,1.4663
-0.0402,-0.0185,26.87,7.95,1.335,1.048,39.42,0.413,True,0.1383,1.1567
0.0234,-0.0149,38.08,14.52,1.111,1.301,35.07,0.472,True,0.4485,0.224
-0.0182,0.0057,37.77,8.92,1.792,0.731,35.3,0.494,True,0.5137,0.4147
-0.0471,0.0,40.7,6.73,1.101,0.979,37.95,0.405,True,1.068,0.3974
-0.0041,-0.0029,34.53,4.41,1.63,0.861,26.76,0.646,False,0.1936,1.5703
-0.0256,-0.0087,35.29,10.98,1.27,0.98,29.71,0.514,False,0.3831,3.3198
-0.0343,-0.0007,27.14,13.59,1.385,1.029,32.03,0.511,True,0.6268,0.8685
-0.0018,-0.0071,31.0,5.19,1.727,1.186,39.82,0.579,False,0.2213,2.8606
0.0003,-0.0029,20.71,11.5,1.113,0.831,22.04,0.606,False,0.1591,1.4411
-0.0044,0.0003,25.91,13.19,1.124,1.388,36.94,0.458,False,0.3341,3.4141
-0.0348,0.007,28.64,2.03,1.343,1.16,24.56,0.425,False,0.3979,1.1524
-0.0607,-0.0186,43.56,8.69,1.145,0.795,38.11,0.57,True,0.4373,1.0175
-0.0164,-0.0197,43.36,8.71,0.93,1.016,33.7,0.632,True,0.7883,0.0523
-0.012,-0.0088,43.18,14.37,1.139,1.053,36.89,0.793,True,0.9011,0.5167
-0.0282,-0.0197,35.97,7.0,1.06,1.122,36.45,0.518,True,0.2896,0.5011
