Mesh_X,Mesh_Y,Mesh_X_Index,Mesh_Y_Index,Pair_Index,Run_Index,Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT
0.702,0.87984,0,2,3,1,-0.0536,-0.0036,42.5,2.17,1.738,1.03,35.85,0.697,True,0.0073,62.6387
0.702,0.87984,0,2,3,1,-0.0139,0.0041,28.04,13.23,1.507,1.238,25.63,0.58,False,0.2756,2.9311
0.702,0.87984,0,2,3,1,0.0228,-0.0156,32.64,5.55,1.377,0.942,21.66,0.472,True,0.8418,0.0921
0.702,0.87984,0,2,3,1,-0.0087,-0.0153,42.91,9.84,1.468,0.714,31.85,0.521,True,1.0321,0.1319
0.702,0.87984,0,2,3,1,-0.0544,-0.0177,31.89,5.83,1.183,0.758,23.01,0.623,True,0.6681,0.5981
0.702,0.87984,0,2,3,1,0.0231,-0.0084,25.75,7.1,1.739,0.7,35.35,0.71,True,1.0242,0.1082
0.702,0.87984,0,2,3,1,0.009,0.0098,23.71,2.26,1.64,1.156,32.21,0.425,True,0.9004,0.0388
0.702,0.87984,0,2,3,1,-0.0328,-0.0064,30.15,2.69,1.277,0.846,21.73,0.656,False,0.2277,1.3618
0.702,0.87984,0,2,3,1,-0.0599,0.0066,40.62,5.64,1.337,1.045,22.05,0.618,True,0.8031,0.6897
0.702,0.87984,0,2,3,1,-0.0622,0.0005,34.01,4.67,1.556,1.366,33.33,0.437,True,0.881,0.4802
0.702,0.87984,0,2,3,1,0.0003,0.0009,28.32,12.54,1.674,0.836,28.8,0.557,False,0.0458,14.8311
0.702,0.87984,0,2,3,1,-0.0568,-0.0138,39.61,4.4,1.371,0.708,35.04,0.744,True,0.1151,2.6183
0.702,0.87984,0,2,3,1,0.0064,-0.0113,38.01,2.19,1.047,1.073,25.12,0.604,False,0.0708,3.7648
0.702,0.87984,0,2,3,1,-0.0576,0.008,33.96,6.82,0.947,1.067,38.95,0.594,True,0.3693,1.1189
0.702,0.87984,0,2,3,1,-0.0158,0.0083,30.26,4.74,1.304,0.716,29.15,0.402,True,0.7839,0.0923
0.702,0.87984,0,2,3,1,0.0101,0.0007,31.18,13.73,0.915,1.164,25.41,0.409,False,0.214,1.9497
0.702,0.87984,0,2,3,1,-0.0399,-0.0121,27.56,11.54,1.239,1.082,23.57,0.6,False,0.1765,4.6537
0.702,0.87984,0,2,3,1,0.0196,-0.0161,21.61,12.06,1.558,0.937,29.12,0.585,True,0.7979,0.1217
0.702,0.87984,0,2,3,1,-0.0195,-0.0118,36.81,14.3,1.565,1.05,21.14,0.431,True,0.8656,0.6113
0.702,0.87984,0,2,3,1,0.0244,-0.0093,24.54,13.47,1.457,1.173,24.8,0.427,False,0.1112,2.3833
0.702,0.87984,0,2,3,1,-0.0615,-0.0075,42.02,14.09,1.274,1.228,21.88,0.456,False,0.3948,2.5699
0.702,0.87984,0,2,3,1,-0.0619,-0.0055,25.0,3.64,0.851,1.071,21.82,0.585,False,0.1594,2.7728
0.702,0.87984,0,2,3,1,0.0042,-0.0038,39.35,4.12,1.074,0.904,30.26,0.66,False,0.0819,5.6704
0.702,0.87984,0,2,3,1,-0.0397,0.0024,20.88,11.13,1.664,0.707,29.24,0.485,True,0.8342,0.1252
0.702,0.87984,0,2,3,1,-0.0389,-0.0065,39.46,3.71,1.589,0.844,37.01,0.679,True,0.0647,5.8487
0.702,0.87984,0,2,3,1,0.0069,-0.0161,35.73,10.94,1.538,1.169,29.92,0.424,True,0.885,0.1131
0.702,0.87984,0,2,3,1,-0.0275,-0.0041,29.75,6.43,0.955,0.784,24.75,0.445,False,0.1362,3.7872
0.702,0.87984,0,2,3,1,-0.0223,-0.0185,44.0,6.66,1.172,1.342,30.72,0.467,True,0.2893,0.4402
0.702,0.87984,0,2,3,1,-0.0374,-0.0014,44.39,9.44,1.498,1.3,39.06,0.742,False,0.2051,7.748
0.702,0.87984,0,2,3,1,0.0218,0.0065,24.31,2.66,1.003,0.956,31.21,0.74,True,0.9813,0.0463
0.702,0.87984,0,2,3,1,-0.0298,-0.0194,40.76,12.87,1.131,0.983,22.37,0.646,True,0.8011,0.0885
0.702,0.87984,0,2,3,1,-0.0533,-0.0177,31.69,13.0,1.029,1.072,32.83,0.513,True,0.8693,0.4375
0.702,0.87984,0,2,3,1,-0.0546,0.0079,44.87,3.38,1.562,1.109,39.62,0.429,True,0.8244,0.9724
0.702,0.87984,0,2,3,1,0.0053,-0.0186,33.33,3.72,1.453,0.729,34.22,0.499,True,0.9828,0.1456
0.702,0.87984,0,2,3,1,-0.0136,0.0016,39.06,6.65,0.99,1.363,23.43,0.624,False,0.0734,7.1443
0.702,0.87984,0,2,3,1,-0.0391,-0.0096,26.65,12.47,1.701,1.203,32.16,0.423,False,0.187,5.4008
0.702,0.87984,0,2,3,1,-0.02,-0.016,41.19,4.07,1.721,1.251,38.7,0.493,True,0.3326,0.719
0.702,0.87984,0,2,3,1,0.0168,-0.0116,38.89,13.72,1.005,0.873,33.82,0.444,False,0.1327,5.2871
0.702,0.87984,0,2,3,1,-0.0474,0.0054,44.79,12.8,1.098,0.875,20.49,0.795,False,0.1397,9.5254
0.702,0.87984,0,2,3,1,-0.0221,0.0071,24.05,13.89,1.359,0.901,33.6,0.796,False,0.0505,22.8123
0.702,0.87984,0,2,3,1,-0.0151,0.009,22.19,10.62,1.789,0.813,35.38,0.582,True,0.7506,0.1462
0.702,0.87984,0,2,3,1,-0.0187,-0.0169,42.6,7.02,0.934,1.075,21.29,0.68,False,0.1571,3.3335
0.702,0.87984,0,2,3,1,-0.0517,-0.0049,32.93,14.07,0.922,1.388,24.8,0.704,False,0.3009,4.6754
0.702,0.87984,0,2,3,1,0.0085,-0.0136,29.93,13.12,1.797,1.257,21.33,0.471,False,0.181,1.8885
0.702,0.87984,0,2,3,1,0.0184,-0.0016,29.86,5.12,1.114,1.335,22.72,0.626,False,0.2279,0.5579
0.702,0.87984,0,2,3,1,-0.0071,0.0084,40.1,11.11,1.149,1.069,26.29,0.773,False,0.1892,3.7469
0.702,0.87984,0,2,3,1,-0.0091,0.0075,35.1,11.72,1.041,1.134,34.39,0.786,False,0.0309,27.7587
0.702,0.87984,0,2,3,1,-0.0269,-0.0171,42.79,14.51,1.422,1.205,23.36,0.596,True,0.7741,0.384
0.702,0.87984,0,2,3,1,-0.0238,0.0032,39.27,4.44,0.862,1.328,32.34,0.758,False,0.1795,5.008
0.702,0.87984,0,2,3,1,-0.0104,0.0033,40.99,11.68,1.151,0.987,39.46,0.499,True,0.93,0.3687
0.702,0.87984,0,2,3,1,-0.0255,0.0017,43.3,7.77,0.813,1.032,27.09,0.503,True,0.8908,0.9755
0.702,0.87984,0,2,3,1,0.0116,-0.0018,33.24,4.87,1.51,1.206,36.39,0.549,False,0.1101,4.3604
0.702,0.87984,0,2,3,1,-0.0247,-0.0163,32.1,11.29,0.931,1.144,26.45,0.507,True,0.9243,0.6217
0.702,0.87984,0,2,3,1,-0.0059,-0.001,39.16,12.23,1.145,0.954,23.82,0.495,False,0.0983,6.683
0.702,0.87984,0,2,3,1,-0.0655,-0.0073,30.55,10.13,1.772,0.705,29.23,0.722,True,0.6269,1.1914
0.702,0.87984,0,2,3,1,-0.0125,0.0055,24.68,2.36,1.314,1.302,32.63,0.702,False,0.176,1.5853
0.702,0.87984,0,2,3,1,-0.0241,0.0078,44.59,4.99,0.918,1.372,28.99,0.621,True,0.8704,0.3289
0.702,0.87984,0,2,3,1,-0.0265,-0.013,40.42,14.13,1.541,0.724,22.03,0.728,False,0.1947,5.5684
0.702,0.87984,0,2,3,1,-0.0126,-0.0176,40.26,12.32,1.461,1.031,25.38,0.675,False,0.2529,3.6518
0.702,0.87984,0,2,3,1,-0.0323,0.0086,44.54,3.07,1.622,1.323,36.94,0.662,True,0.2994,1.1464
0.702,0.87984,0,2,3,1,0.0104,-0.0157,29.49,9.99,1.677,1.196,23.96,0.497,False,0.1275,2.214
0.702,0.87984,0,2,3,1,0.0083,-0.0043,37.81,10.09,1.459,0.801,29.78,0.746,False,0.0996,5.3129
0.702,0.87984,0,2,3,1,-0.0668,0.0001,29.02,4.96,0.971,0.993,25.86,0.662,False,0.1714,4.356
0.702,0.87984,0,2,3,1,-0.0039,-0.0033,25.86,9.32,1.476,1.061,20.18,0.644,False,0.0869,2.9934
0.702,0.87984,0,2,3,1,-0.011,-0.0044,27.24,13.8,0.912,1.353,34.88,0.541,False,0.1169,8.8258
0.702,0.87984,0,2,3,1,0.0017,-0.0124,37.55,11.21,0.998,1.021,31.05,0.544,False,0.1384,5.2008
0.702,0.87984,0,2,3,1,0.0174,-0.002,23.85,14.56,1.439,1.36,26.79,0.442,False,0.1513,2.3697
0.702,0.87984,0,2,3,1,-0.0173,0.0062,23.59,11.87,1.448,1.296,24.1,0.668,False,0.0113,58.2361
0.702,0.87984,0,2,3,1,0.025,-0.0143,33.72,12.11,1.487,0.869,22.47,0.494,False,0.215,1.2355
0.702,0.87984,0,2,3,1,0.0243,-0.0,28.8,6.51,0.833,0.93,37.94,0.43,False,0.2406,1.7071
0.702,0.87984,0,2,3,1,-0.0682,-0.0127,25.91,12.13,1.75,1.179,35.49,0.648,True,0.1781,2.9079
0.702,0.87984,0,2,3,1,0.0149,-0.0083,34.53,7.62,0.809,1.118,33.52,0.687,False,0.0428,10.2737
0.702,0.87984,0,2,3,1,-0.0089,-0.0023,27.93,8.62,1.117,1.076,35.7,0.794,False,0.0934,7.6982
0.702,0.87984,0,2,3,1,-0.0145,-0.0002,31.05,4.02,1.292,0.915,37.63,0.587,False,0.1459,5.3176
0.702,0.87984,0,2,3,1,-0.0209,-0.0011,36.94,6.32,1.436,0.835,32.26,0.706,False,0.2045,4.3078
0.702,0.87984,0,2,3,1,-0.0438,-0.0045,29.5,12.94,1.681,0.817,26.19,0.51,False,0.0626,15.8324
0.702,0.87984,0,2,3,1,-0.0018,-0.0169,43.77,5.78,1.775,1.216,35.9,0.725,True,0.7705,0.3086
0.702,0.87984,0,2,3,1,-0.0229,0.0037,39.71,3.39,1.331,0.946,27.46,0.716,True,0.8662,0.2404
0.702,0.87984,0,2,3,1,-0.0469,-0.0197,23.06,11.46,1.465,1.318,22.16,0.558,True,0.628,0.1227
0.702,0.87984,0,2,3,1,0.0001,-0.0167,28.57,7.41,1.184,0.821,36.3,0.566,True,0.919,0.1159
0.702,0.87984,0,2,3,1,-0.044,0.0016,20.76,9.34,1.599,0.974,31.47,0.712,False,0.3177,3.3098
0.702,0.87984,0,2,3,1,0.0102,0.0058,33.18,8.8,0.897,1.286,37.87,0.784,True,0.7939,0.516
0.702,0.87984,0,2,3,1,0.0059,-0.0035,21.93,8.22,0.927,1.313,39.4,0.532,False,0.2097,2.5418
0.702,0.87984,0,2,3,1,-0.0132,-0.0144,29.06,8.89,1.272,0.855,32.3,0.764,False,0.1245,6.585
0.702,0.87984,0,2,3,1,0.0088,-0.0056,32.05,12.61,1.711,1.167,34.55,0.78,False,0.0356,15.6819
0.702,0.87984,0,2,3,1,-0.0206,-0.0003,25.26,11.92,1.605,0.916,39.83,0.692,False,0.1216,9.812
0.702,0.87984,0,2,3,1,-0.0184,0.0025,27.55,4.69,1.01,1.038,28.35,0.473,False,0.2986,1.4525
0.702,0.87984,0,2,3,1,-0.0243,-0.0126,30.75,12.72,0.891,1.163,26.96,0.487,False,0.7927,1.0406
0.702,0.87984,0,2,3,1,-0.0251,0.0051,21.21,6.62,1.233,1.283,24.15,0.534,False,0.1959,1.6787
0.702,0.87984,0,2,3,1,-0.0498,-0.0103,21.53,9.49,0.973,0.759,38.15,0.75,True,0.7168,0.6923
0.702,0.87984,0,2,3,1,-0.0007,0.0036,21.0,8.96,1.694,1.275,37.05,0.533,False,0.2011,3.0577
0.702,0.87984,0,2,3,1,-0.0257,0.01,30.38,3.18,1.528,0.734,30.45,0.754,True,0.833,0.092
0.702,0.87984,0,2,3,1,-0.046,-0.0155,21.31,9.76,1.245,1.209,21.91,0.406,True,0.8513,0.1377
0.702,0.87984,0,2,3,1,-0.0505,0.0011,44.29,10.15,1.6,1.018,37.68,0.521,True,0.4885,0.9831
0.702,0.87984,0,2,3,1,-0.0698,-0.0017,40.02,10.95,1.547,1.266,30.87,0.732,True,0.6855,0.393
0.702,0.87984,0,2,3,1,-0.0556,-0.0184,26.8,4.57,1.302,0.949,21.17,0.44,True,0.6767,0.1516
0.702,0.87984,0,2,3,1,-0.0249,0.0019,43.06,2.49,1.497,0.754,37.42,0.483,True,0.5546,1.1288
0.702,0.87984,0,2,3,1,-0.0142,-0.0182,23.47,13.37,1.251,0.709,39.18,0.785,True,0.8822,0.4971
0.702,0.87984,0,2,3,1,0.0199,0.0022,22.14,7.62,1.455,1.058,29.06,0.686,False,0.1631,1.364
0.702,0.87984,0,2,3,1,0.0079,-0.0155,37.55,10.56,1.474,1.189,35.01,0.575,False,0.2343,2.841
0.702,0.87984,0,2,3,1,-0.028,-0.0188,38.93,12.67,1.067,1.252,27.14,0.436,True,0.7702,0.1369
0.702,0.87984,0,2,3,1,0.0052,-0.0036,21.0,13.29,1.563,1.001,22.16,0.481,False,0.1246,2.5581
0.702,0.87984,0,2,3,1,0.0198,0.0067,32.66,8.82,1.195,0.745,33.86,0.688,True,0.9049,0.1753
0.702,0.87984,0,2,3,1,-0.019,-0.0085,22.33,6.49,1.207,1.055,23.86,0.409,False,0.1843,1.5519
0.702,0.87984,0,2,3,1,-0.0368,-0.0015,41.79,9.1,1.279,1.246,37.39,0.453,True,0.6038,0.583
0.702,0.87984,0,2,3,1,0.0217,-0.0158,22.62,13.48,1.393,1.0,36.11,0.77,True,1.3588,0.4488
0.702,0.87984,0,2,3,1,-0.0012,0.0086,41.71,5.35,1.617,0.814,39.75,0.554,True,0.7375,0.1712
0.702,0.87984,0,2,3,1,-0.0108,-0.0082,44.2,4.8,1.367,0.717,22.63,0.611,False,0.1185,4.4764
0.702,0.87984,0,2,3,1,0.0226,-0.012,35.46,9.52,1.168,1.362,34.7,0.595,False,0.163,2.7165
0.702,0.87984,0,2,3,1,-0.0685,0.0085,25.21,11.84,1.767,0.786,29.81,0.407,True,0.7879,0.1458
0.702,0.87984,0,2,3,1,-0.0015,-0.0109,41.93,4.05,1.593,1.22,34.84,0.583,False,0.1523,5.2928
0.702,0.87984,0,2,3,1,-0.0371,0.0049,41.47,13.92,1.496,1.307,38.29,0.556,True,0.2255,3.9409
0.702,0.87984,0,2,3,1,-0.0013,0.0081,44.62,13.16,1.692,1.174,20.73,0.548,False,0.0643,9.7518
0.702,0.87984,0,2,3,1,0.0021,0.0093,20.36,14.36,0.983,1.279,25.7,0.426,True,0.962,0.0552
0.702,0.87984,0,2,3,1,0.0194,0.0072,30.68,5.49,1.608,1.012,20.36,0.654,False,0.2268,0.4384
0.702,0.87984,0,2,3,1,-0.0363,0.0044,37.36,8.51,1.431,0.719,28.91,0.41,True,0.8442,0.1345
0.702,0.87984,0,2,3,1,-0.0093,-0.0191,40.24,7.19,1.206,1.041,24.48,0.666,False,0.1097,4.677
0.702,0.87984,0,2,3,1,-0.067,0.0043,32.04,14.33,1.049,1.007,28.76,0.761,True,1.2261,1.5458
0.702,0.87984,0,2,3,1,-0.0635,-0.0054,38.46,10.07,1.476,1.226,38.17,0.62,True,0.4817,0.6439
0.702,0.87984,0,2,3,1,-0.0521,0.0013,41.81,11.42,0.96,1.011,26.88,0.405,True,0.9355,0.1515
0.702,0.87984,0,2,3,1,-0.0029,-0.0013,23.94,3.85,1.059,1.087,25.58,0.443,False,0.0499,4.1912
0.702,0.87984,0,2,3,1,-0.0337,-0.0149,38.22,12.17,1.636,0.911,38.49,0.434,True,0.5431,0.3751
0.702,0.87984,0,2,3,1,-0.0691,0.0041,41.11,8.01,1.637,1.2,38.84,0.748,True,0.7195,0.3972
0.702,0.87984,0,2,3,1,-0.0394,-0.0162,43.9,3.67,0.887,1.256,25.49,0.586,True,0.816,0.293
0.702,0.87984,0,2,3,1,0.009,-0.0089,36.72,9.37,1.634,1.377,25.29,0.65,False,0.1755,2.5369
0.702,0.87984,0,2,3,1,-0.0452,0.0056,44.95,12.52,1.51,0.985,31.03,0.771,False,0.4148,3.8171
0.702,0.87984,0,2,3,1,-0.0347,-0.0111,21.05,8.65,0.822,1.122,21.43,0.571,False,0.1391,2.6466
0.702,0.87984,0,2,3,1,-0.0064,-0.0152,20.06,12.59,0.928,0.704,27.56,0.72,False,0.2147,3.196
0.702,0.87984,0,2,3,1,-0.0156,-0.0043,28.11,6.14,1.399,0.896,35.56,0.614,False,0.1197,6.2008
0.702,0.87984,0,2,3,1,-0.0609,0.0096,35.6,4.22,1.518,1.29,21.59,0.631,True,0.8098,0.1706
0.702,0.87984,0,2,3,1,-0.0292,-0.0052,33.87,10.86,1.745,1.136,21.54,0.651,False,0.0715,10.2322
0.702,0.87984,0,2,3,1,0.022,-0.0038,41.43,6.74,0.873,0.788,35.93,0.448,True,0.9991,0.203
0.702,0.87984,0,2,3,1,-0.0642,0.0,28.73,7.21,1.442,1.105,31.1,0.53,True,0.8154,0.2954
0.702,0.87984,0,2,3,1,0.0127,-0.0049,30.96,11.36,1.293,0.849,27.25,0.641,False,0.2156,2.1237
0.702,0.87984,0,2,3,1,0.0193,-0.0078,43.51,9.7,1.733,0.996,34.67,0.49,True,0.8901,0.1534
0.702,0.87984,0,2,3,1,-0.0516,-0.0064,36.76,2.92,1.376,0.765,22.4,0.79,False,0.2079,2.8364
0.702,0.87984,0,2,3,1,-0.0427,-0.0118,42.98,7.86,1.311,0.774,27.7,0.527,True,0.8924,0.285
0.702,0.87984,0,2,3,1,0.0097,0.0063,37.91,8.55,1.551,1.099,26.12,0.637,True,1.0183,0.1714
0.702,0.87984,0,2,3,1,-0.0607,-0.0027,22.85,10.65,0.942,0.816,29.02,0.492,True,0.7486,0.3064
0.702,0.87984,0,2,3,1,0.021,-0.0072,27.88,4.63,0.879,1.02,35.78,0.694,False,0.1548,1.5814
0.702,0.87984,0,2,3,1,-0.0658,-0.0121,29.13,6.29,0.803,0.967,20.88,0.725,False,0.1498,4.1256
0.702,0.87984,0,2,3,1,-0.0606,-0.0006,41.58,10.37,1.237,1.346,30.29,0.436,True,0.6832,0.7917
0.702,0.87984,0,2,3,1,-0.0456,-0.006,31.56,5.76,0.95,1.065,25.27,0.759,False,0.1408,4.9901
0.702,0.87984,0,2,3,1,0.018,-0.0104,35.65,7.66,1.424,0.805,26.04,0.402,False,0.0588,5.4011
0.702,0.87984,0,2,3,1,-0.0523,-0.0139,28.3,12.45,1.181,1.185,39.55,0.694,True,0.3619,0.942
0.702,0.87984,0,2,3,1,-0.0518,-0.0167,32.56,9.41,1.618,1.264,20.12,0.625,True,0.602,0.59
0.702,0.87984,0,2,3,1,-0.0051,0.0019,28.65,10.67,1.65,1.16,27.02,0.619,False,0.0456,13.3268
0.702,0.87984,0,2,3,1,-0.0022,-0.0059,20.27,4.21,1.489,1.289,27.38,0.429,False,0.0403,4.7541
0.702,0.87984,0,2,3,1,0.0123,-0.0149,41.51,2.1,1.29,1.146,33.63,0.475,False,0.3244,1.9327
0.702,0.87984,0,2,3,1,-0.0274,-0.0194,32.17,10.41,0.959,1.25,33.48,0.615,True,0.7505,0.1195
0.702,0.87984,0,2,3,1,-0.0538,0.0058,29.33,2.3,1.05,1.019,20.58,0.597,True,0.8222,0.3711
0.702,0.87984,0,2,3,1,-0.0263,-0.0042,23.32,9.75,1.227,1.158,30.33,0.665,False,0.1621,5.5757
0.702,0.87984,0,2,3,1,-0.031,-0.0137,28.16,10.17,1.519,0.727,38.35,0.616,True,0.2775,0.6831
0.702,0.87984,0,2,3,1,-0.0354,-0.0142,30.88,7.37,1.106,1.398,39.39,0.576,True,0.3815,1.5668
0.702,0.87984,0,2,3,1,0.0074,-0.0014,26.68,3.28,1.706,1.33,21.2,0.519,False,0.123,0.9573
0.702,0.87984,0,2,3,1,-0.0696,-0.0096,36.26,4.7,1.786,1.112,31.9,0.413,True,1.02,0.5144
0.702,0.87984,0,2,3,1,0.0152,-0.0137,27.26,8.74,1.657,0.852,26.56,0.664,False,0.2636,1.0641
0.702,0.87984,0,2,3,1,-0.0488,0.0007,29.95,9.25,1.688,1.014,36.17,0.478,True,0.7471,0.5093
0.702,0.87984,0,2,3,1,0.0187,-0.0192,40.73,4.36,1.19,1.107,25.74,0.514,True,0.8564,0.0363
0.702,0.87984,0,2,3,1,0.0129,-0.0071,38.68,6.08,1.712,0.995,32.72,0.737,False,0.0995,4.3588
0.702,0.87984,0,2,3,1,-0.0694,-0.003,26.94,7.3,1.543,1.35,31.51,0.56,True,0.7019,1.1326
0.702,0.87984,0,2,3,1,-0.0225,-0.01,35.0,2.33,1.436,0.747,34.35,0.579,True,0.2481,1.0056
0.702,0.87984,0,2,3,1,0.006,-0.0069,42.0,3.59,1.726,0.988,30.11,0.411,True,0.4948,0.6707
0.702,0.87984,0,2,3,1,-0.0567,-0.0175,41.07,14.02,1.397,1.126,28.65,0.613,True,0.5835,0.6797
0.702,0.87984,0,2,3,1,-0.0477,0.0003,25.07,10.37,0.982,1.246,23.79,0.68,True,0.7381,0.4631
0.702,0.87984,0,2,3,1,-0.0614,-0.0181,27.46,11.81,1.142,0.726,28.27,0.504,True,0.8375,0.3107
