Mesh_X,Mesh_Y,Mesh_X_Index,Mesh_Y_Index,Pair_Index,Run_Index,Mesh_Generator,Mesh_Generator_Entry_XML,Mesh_Generator_SCAD,Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Replay_Params_JSON,Fell,Distance_Traversed,Forward_Progress,Lateral_Drift,Path_Length,Forward_Efficiency,Heading_Change_Deg,Right_Landings,Left_Landings,Landing_Count,Alternating_Steps,Right_Max_Swing_Clearance,Left_Max_Swing_Clearance,Min_Swing_Clearance,Right_Contact_Slip,Left_Contact_Slip,Total_Contact_Slip,Slip_Ratio,Gait_Quality_Pass,Walk_Score,CoT
0.7332,0.91728,0,2,3,1,gen_new_xml,/home/rml3/Documents/nick/LEGO-MuJoCo/bigfoot/scene.xml,/home/rml3/Documents/nick/LEGO-MuJoCo/feet_generator.scad,-0.028102024344749135,-0.014095234022917645,33.70271614438326,10.546317428807342,1.0020868234286042,0.7561807915607711,23.086398321457274,0.4654051586632798,"{""Kd"": 10.546317428807342, ""Kp"": 33.70271614438326, ""amp_deg"": 23.086398321457274, ""foot_x"": -0.028102024344749135, ""foot_y"": -0.014095234022917645, ""freq_hz"": 0.4654051586632798, ""start_amp_mult"": 1.0020868234286042, ""start_freq_mult"": 0.7561807915607711}",False,0.37083963373766626,0.35765297744820185,0.09801215064022661,6.644890711111225,0.053823756175576214,15.277074579396782,0,0,0,0,0.0,0.0,0.0,2.7036281684876347,3.177177704948512,5.880805873436147,16.44277063033217,False,-1.758011910742712,1.850662933464373
0.7332,0.91728,0,2,3,1,gen_new_xml,/home/rml3/Documents/nick/LEGO-MuJoCo/bigfoot/scene.xml,/home/rml3/Documents/nick/LEGO-MuJoCo/feet_generator.scad,-0.039674285998181145,-0.011873345167611262,44.793059233015214,11.66626310112654,1.483307144206654,0.9959406171217706,30.746240951427637,0.5937467884317837,"{""Kd"": 11.66626310112654, ""Kp"": 44.793059233015214, ""amp_deg"": 30.746240951427637, ""foot_x"": -0.039674285998181145, ""foot_y"": -0.011873345167611262, ""freq_hz"": 0.5937467884317837, ""start_amp_mult"": 1.483307144206654, ""start_freq_mult"": 0.9959406171217706}",False,0.37687782018274185,0.2749702640446096,0.25773677509609055,9.749666622587723,0.02820304269764128,3.2732338570795476,0,0,0,0,0.0,0.0,0.0,4.117055840525878,4.907102060941093,9.024157901466971,32.81866834881805,False,-1.8681803005018836,4.99478806709051
0.7332,0.91728,0,2,3,1,gen_new_xml,/home/rml3/Documents/nick/LEGO-MuJoCo/bigfoot/scene.xml,/home/rml3/Documents/nick/LEGO-MuJoCo/feet_generator.scad,-0.06731542886693638,-0.0048439659274926595,25.811556000919133,2.85994052737796,1.2074880799759375,1.315225723069732,22.867617705012105,0.6651827483590478,"{""Kd"": 2.85994052737796, ""Kp"": 25.811556000919133, ""amp_deg"": 22.867617705012105, ""foot_x"": -0.06731542886693638, ""foot_y"": -0.0048439659274926595, ""freq_hz"": 0.6651827483590478, ""start_amp_mult"": 1.2074880799759375, ""start_freq_mult"": 1.315225723069732}",False,0.13650407478347867,0.00016463988123084465,0.13650397549596513,6.390208056471466,2.576440074812763e-05,15.229774776175084,0,0,0,0,0.0,0.0,0.0,2.3848168704575805,3.087341334076733,5.472158204534313,33237.13649223118,False,-2.1345397764121112,4.228392489242942
0.7332,0.91728,0,2,3,1,gen_new_xml,/home/rml3/Documents/nick/LEGO-MuJoCo/bigfoot/scene.xml,/home/rml3/Documents/nick/LEGO-MuJoCo/feet_generator.scad,-0.0661289976170966,0.006052696597489297,20.867231751367644,13.902900718088262,1.5712446657600723,1.0080650799266726,27.65892662349773,0.7813145880305198,"{""Kd"": 13.902900718088262, ""Kp"": 20.867231751367644, ""amp_deg"": 27.65892662349773, ""foot_x"": -0.0661289976170966, ""foot_y"": 0.006052696597489297, ""freq_hz"": 0.7813145880305198, ""start_amp_mult"": 1.5712446657600723, ""start_freq_mult"": 1.0080650799266726}",True,0.7126482098233832,0.6007539715232832,0.38335640944619026,5.751420546382776,0.10445314625812117,21.512930458404863,0,1,1,0,0.16764946653713447,0.03729280597753831,0.03729280597753831,2.1001927188548297,2.1299908771563203,4.23018359601115,7.0414575625443065,False,-2.888937856517177,1.4571149419676461
0.7332,0.91728,0,2,3,1,gen_new_xml,/home/rml3/Documents/nick/LEGO-MuJoCo/bigfoot/scene.xml,/home/rml3/Documents/nick/LEGO-MuJoCo/feet_generator.scad,-0.040849270490650624,0.007727197786008676,22.95921264279299,8.62901837592793,1.691958124791668,1.0167839917256147,22.064497673660572,0.5765938895260998,"{""Kd"": 8.62901837592793, ""Kp"": 22.95921264279299, ""amp_deg"": 22.064497673660572, ""foot_x"": -0.040849270490650624, ""foot_y"": 0.007727197786008676, ""freq_hz"": 0.5765938895260998, ""start_amp_mult"": 1.691958124791668, ""start_freq_mult"": 1.0167839917256147}",False,0.4827962105293591,0.42283657194259183,0.233026638668944,5.46179223177932,0.07741718359082324,43.63418319660009,0,0,0,0,0.0,0.0,0.0,1.9938517187361502,2.2909285494684473,4.284780268204598,10.133419274779143,False,-1.8840667881916442,0.9026395246092823
0.7332,0.91728,0,2,3,1,gen_new_xml,/home/rml3/Documents/nick/LEGO-MuJoCo/bigfoot/scene.xml,/home/rml3/Documents/nick/LEGO-MuJoCo/feet_generator.scad,-0.020952856329235325,0.007896385221686512,39.54263911382689,10.344115944967017,1.4139319274060207,0.8546606129856658,35.74228215205738,0.6918760431322075,"{""Kd"": 10.344115944967017, ""Kp"": 39.54263911382689, ""amp_deg"": 35.74228215205738, ""foot_x"": -0.020952856329235325, ""foot_y"": 0.007896385221686512, ""freq_hz"": 0.6918760431322075, ""start_amp_mult"": 1.4139319274060207, ""start_freq_mult"": 0.8546606129856658}",True,0.7104070079190673,0.3232179230329234,0.6326201791998142,1.3411618049010159,0.24099845510943285,67.93906035764991,0,0,0,0,0.026383026393520886,0.003973502800675571,0.003973502800675571,0.4191190258820691,0.35542107762326824,0.7745401035053374,2.3963402036539962,False,-3.5291662604204204,0.21572642172509157
0.7332,0.91728,0,2,3,1,gen_new_xml,/home/rml3/Documents/nick/LEGO-MuJoCo/bigfoot/scene.xml,/home/rml3/Documents/nick/LEGO-MuJoCo/feet_generator.scad,-0.037089353060290944,-0.017694447417806264,41.43480451635578,8.035602276879526,1.0482869987473493,1.2269927024341962,28.81542345661303,0.7226253602735798,"{""Kd"": 8.035602276879526, ""Kp"": 41.43480451635578, ""amp_deg"": 28.81542345661303, ""foot_x"": -0.037089353060290944, ""foot_y"": -0.017694447417806264, ""freq_hz"": 0.7226253602735798, ""start_amp_mult"": 1.0482869987473493, ""start_freq_mult"": 1.2269927024341962}",False,0.27087982411718103,-0.24267862663640946,0.12034518389873818,8.377585701728524,-0.02896760895998214,67.18192518634875,0,0,0,0,0.0,0.0,0.0,3.5393990106267634,4.165217791495865,7.704616802122628,999.0,False,-2.5959876666683512,5.0137197101642395
0.7332,0.91728,0,2,3,1,gen_new_xml,/home/rml3/Documents/nick/LEGO-MuJoCo/bigfoot/scene.xml,/home/rml3/Documents/nick/LEGO-MuJoCo/feet_generator.scad,-0.022638792482652874,-0.015803363152309676,44.203899172013735,7.185295465810621,1.4525924655141487,1.0674730493566187,35.26687226465128,0.7255376471909053,"{""Kd"": 7.185295465810621, ""Kp"": 44.203899172013735, ""amp_deg"": 35.26687226465128, ""foot_x"": -0.022638792482652874, ""foot_y"": -0.015803363152309676, ""freq_hz"": 0.7255376471909053, ""start_amp_mult"": 1.4525924655141487, ""start_freq_mult"": 1.0674730493566187}",False,0.15872719296634968,-0.05618731748416784,0.14844967881713364,7.829757381379521,-0.007176124973909246,27.9964303809991,0,0,0,0,0.0,0.0,0.0,3.4079647222790173,3.782684674603022,7.190649396882039,999.0,False,-2.2525696291311856,8.022935529423032
0.7332,0.91728,0,2,3,1,gen_new_xml,/home/rml3/Documents/nick/LEGO-MuJoCo/bigfoot/scene.xml,/home/rml3/Documents/nick/LEGO-MuJoCo/feet_generator.scad,-0.06397680815272398,0.006927852292820738,43.84026589892255,4.396664626492795,1.2994261188782248,0.9926940620347984,30.885839610889867,0.54978679912901,"{""Kd"": 4.396664626492795, ""Kp"": 43.84026589892255, ""amp_deg"": 30.885839610889867, ""foot_x"": -0.06397680815272398, ""foot_y"": 0.006927852292820738, ""freq_hz"": 0.54978679912901, ""start_amp_mult"": 1.2994261188782248, ""start_freq_mult"": 0.9926940620347984}",True,0.8122082243221854,0.2473346181778021,0.7736328498114841,1.7122535517367024,0.1444497620851397,28.487091783014495,0,0,0,0,0.02881963148809255,0.024012391852998,0.024012391852998,0.8238145909098128,0.7016720053191658,1.5254865962289785,6.167703524349947,False,-3.380550545645791,0.4233317934100719
0.7332,0.91728,0,2,3,1,gen_new_xml,/home/rml3/Documents/nick/LEGO-MuJoCo/bigfoot/scene.xml,/home/rml3/Documents/nick/LEGO-MuJoCo/feet_generator.scad,-0.0027456865929011975,0.0026628198413939062,41.88561070026711,3.1029678572814565,1.7213554555062753,1.3092003246783632,26.2111663019803,0.6364024409389537,"{""Kd"": 3.1029678572814565, ""Kp"": 41.88561070026711, ""amp_deg"": 26.2111663019803, ""foot_x"": -0.0027456865929011975, ""foot_y"": 0.0026628198413939062, ""freq_hz"": 0.6364024409389537, ""start_amp_mult"": 1.7213554555062753, ""start_freq_mult"": 1.3092003246783632}",False,0.20778074185174658,0.20566357038446062,0.02958601867737818,5.495630712406659,0.03742310594490363,9.20412527614313,0,0,0,0,0.0,0.0,0.0,2.446148250500784,2.4190562870528987,4.865204537553683,23.65613184901357,False,-1.849290011662911,2.4740062431999137
