Wait_For_Settle,Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT,Settle_Time_S,Passed
True,-0.0522,-0.0134,25.8,12.11,1.304,0.912,20.48,0.677,False,0.1543,4.9275,14.694,False
False,-0.0522,-0.0134,25.8,12.11,1.304,0.912,20.48,0.677,False,0.3171,2.4296,0.0,False
True,-0.0563,0.0076,30.72,4.89,0.954,0.732,38.68,0.789,False,0.3056,5.0301,2.998,False
False,-0.0563,0.0076,30.72,4.89,0.954,0.732,38.68,0.789,False,0.343,4.4489,0.0,False
True,-0.0604,-0.0172,43.21,3.38,1.281,1.315,26.15,0.589,True,0.3851,1.4152,13.606,False
False,-0.0604,-0.0172,43.21,3.38,1.281,1.315,26.15,0.589,True,0.4326,1.6352,0.0,False
True,-0.0457,-0.0046,24.53,2.2,1.07,0.797,32.25,0.65,False,0.0627,7.4721,12.146,False
False,-0.0457,-0.0046,24.53,2.2,1.07,0.797,32.25,0.65,False,0.115,4.4333,0.0,False
True,-0.0657,-0.0023,42.24,2.32,0.855,0.987,22.48,0.779,False,0.1429,5.7393,13.33,False
False,-0.0657,-0.0023,42.24,2.32,0.855,0.987,22.48,0.779,False,0.3023,2.9542,0.0,False
True,-0.0389,0.0047,23.19,8.29,1.552,0.906,37.59,0.77,False,0.0964,13.856,8.66,False
False,-0.0389,0.0047,23.19,8.29,1.552,0.906,37.59,0.77,False,0.1895,6.2679,0.0,False
True,0.0187,0.0021,34.42,6.24,1.218,0.949,34.65,0.544,False,0.2181,1.504,7.904,False
False,0.0187,0.0021,34.42,6.24,1.218,0.949,34.65,0.544,False,0.1684,2.1908,0.0,False
True,0.0244,0.0015,22.59,10.84,1.066,0.852,28.87,0.736,False,0.0412,6.3093,8.698,False
False,0.0244,0.0015,22.59,10.84,1.066,0.852,28.87,0.736,True,1.4204,0.3411,0.0,False
True,0.0166,-0.0105,31.19,11.24,1.494,0.711,24.93,0.674,True,0.8094,0.7619,15.18,False
False,0.0166,-0.0105,31.19,11.24,1.494,0.711,24.93,0.674,False,0.8684,1.1716,0.0,False
True,0.0182,0.003,36.76,12.43,1.119,0.74,28.13,0.793,False,0.145,2.5533,9.028,False
False,0.0182,0.003,36.76,12.43,1.119,0.74,28.13,0.793,False,0.3131,1.1965,0.0,False
True,0.0011,-0.0092,30.93,10.22,0.853,1.397,23.62,0.574,False,0.0175,7.8876,14.168,False
False,0.0011,-0.0092,30.93,10.22,0.853,1.397,23.62,0.574,False,0.3083,1.0882,0.0,False
True,-0.0188,0.0027,43.68,11.64,1.743,0.952,38.59,0.429,False,0.807,1.821,9.702,False
False,-0.0188,0.0027,43.68,11.64,1.743,0.952,38.59,0.429,True,0.3191,0.6921,0.0,False
True,-0.027,-0.0133,26.43,14.98,1.744,1.298,30.43,0.599,True,2.0382,0.2721,14.374,False
False,-0.027,-0.0133,26.43,14.98,1.744,1.298,30.43,0.599,True,0.7867,0.533,0.0,False
True,0.0033,0.004,23.79,10.02,1.426,0.969,29.01,0.722,False,0.0463,7.6594,11.364,False
False,0.0033,0.004,23.79,10.02,1.426,0.969,29.01,0.722,False,0.0404,9.9188,0.0,False
True,0.011,-0.0083,34.46,3.84,1.008,1.339,31.88,0.622,False,0.0087,18.6879,12.544,False
False,0.011,-0.0083,34.46,3.84,1.008,1.339,31.88,0.622,True,1.4005,0.2811,0.0,False
True,-0.0482,-0.001,21.36,6.45,1.359,1.215,35.88,0.439,False,0.4752,1.6622,11.548,False
False,-0.0482,-0.001,21.36,6.45,1.359,1.215,35.88,0.439,False,0.1502,4.9818,0.0,False
True,-0.0484,-0.003,34.32,5.6,1.763,0.783,24.58,0.501,False,0.3887,2.443,14.17,False
False,-0.0484,-0.003,34.32,5.6,1.763,0.783,24.58,0.501,False,0.4964,1.729,0.0,False
True,-0.0672,-0.0178,29.89,6.24,1.236,1.235,25.32,0.695,False,0.2134,4.4455,13.518,False
False,-0.0672,-0.0178,29.89,6.24,1.236,1.235,25.32,0.695,False,0.1676,5.6968,0.0,False
True,-0.0077,-0.0013,39.16,10.31,1.788,0.943,20.25,0.413,False,0.1706,1.97,12.412,False
False,-0.0077,-0.0013,39.16,10.31,1.788,0.943,20.25,0.413,False,0.2198,1.7854,0.0,False
True,0.0116,0.0058,35.63,8.55,1.416,1.152,27.22,0.706,False,0.3334,0.9072,2.998,False
False,0.0116,0.0058,35.63,8.55,1.416,1.152,27.22,0.706,False,0.3046,1.0155,0.0,False
True,-0.0041,-0.0041,35.8,7.92,0.803,1.026,27.65,0.52,False,0.1044,2.9567,13.422,False
False,-0.0041,-0.0041,35.8,7.92,0.803,1.026,27.65,0.52,False,0.0951,4.7674,0.0,False
True,-0.0439,-0.0159,35.02,12.75,1.169,0.842,31.92,0.734,True,0.6132,0.5054,15.376,False
False,-0.0439,-0.0159,35.02,12.75,1.169,0.842,31.92,0.734,True,0.753,0.8488,0.0,False
True,-0.0225,0.0023,43.05,13.33,1.193,1.175,31.77,0.79,False,0.2725,3.7752,8.716,False
False,-0.0225,0.0023,43.05,13.33,1.193,1.175,31.77,0.79,False,0.1765,5.7885,0.0,False
True,-0.0314,-0.001,33.5,5.87,1.11,1.092,24.77,0.572,False,0.0994,3.7245,12.642,False
False,-0.0314,-0.001,33.5,5.87,1.11,1.092,24.77,0.572,False,0.0862,6.4802,0.0,False
True,0.002,-0.0161,22.01,5.97,1.416,1.312,37.19,0.517,False,0.0312,11.9657,25.0,False
False,0.002,-0.0161,22.01,5.97,1.416,1.312,37.19,0.517,False,0.3562,1.1124,0.0,False
True,-0.059,-0.0006,29.21,11.68,1.33,0.756,38.19,0.694,True,0.3289,1.7858,11.08,False
False,-0.059,-0.0006,29.21,11.68,1.33,0.756,38.19,0.694,True,0.572,0.6577,0.0,False
True,-0.0163,-0.0123,27.16,6.64,1.629,1.01,32.92,0.595,False,0.039,11.5073,14.764,False
