Amplitude_Deg,Frequency_Hz,Start_Amp_Mult,Start_Freq_Mult,Fell,Distance_Traversed,CoT,Passed,Avg_Velocity
30.76923076923077,0.5471794871794873,1.8,0.9333333333333333,False,2.2257,0.4105,True,0.111285
30.76923076923077,0.5528205128205128,0.9111111111111112,1.4,False,1.1151,0.4468,False,0.055755
30.76923076923077,0.5584615384615386,1.6888888888888889,0.9333333333333333,False,1.0998,0.4882,False,0.054990000000000004
30.76923076923077,0.5641025641025641,1.8,0.9333333333333333,False,1.1391,0.8524,False,0.056955
30.76923076923077,0.5697435897435899,1.5777777777777777,0.8555555555555555,False,1.0389,0.5343,False,0.051945
30.76923076923077,0.5753846153846154,1.4666666666666668,0.7,False,1.1292,0.5145,False,0.056459999999999996
30.76923076923077,0.5810256410256411,1.8,0.7777777777777777,False,1.3074,0.4786,False,0.06537
30.76923076923077,0.5866666666666667,1.8,1.2444444444444445,False,0.9112,0.4822,False,0.04556
30.76923076923077,0.5923076923076923,1.6888888888888889,0.7777777777777777,False,1.2377,0.534,False,0.061885
30.76923076923077,0.597948717948718,1.2444444444444445,0.9333333333333333,False,0.7676,0.6185,False,0.03838
30.76923076923077,0.6035897435897436,1.0222222222222221,0.9333333333333333,False,1.1414,0.4368,False,0.057069999999999996
30.76923076923077,0.6092307692307692,1.6888888888888889,0.8555555555555555,False,1.303,0.4459,False,0.06515
30.76923076923077,0.6148717948717949,1.3555555555555556,1.0888888888888888,False,1.2708,0.3476,False,0.06354
30.76923076923077,0.6205128205128205,1.5777777777777777,1.0888888888888888,False,1.8396,0.265,False,0.09197999999999999
30.76923076923077,0.6261538461538462,1.4666666666666668,0.8555555555555555,False,1.1202,0.6001,False,0.056010000000000004
30.76923076923077,0.6317948717948718,0.9111111111111112,1.011111111111111,False,1.5125,0.3194,False,0.075625
30.76923076923077,0.6374358974358975,1.4666666666666668,1.011111111111111,False,0.7666,0.71,False,0.038329999999999996
30.76923076923077,0.6430769230769231,1.1333333333333333,0.9333333333333333,False,0.672,0.8889,False,0.033600000000000005
30.76923076923077,0.6487179487179487,1.8,0.7,False,1.3492,0.4966,False,0.06745999999999999
30.76923076923077,0.6543589743589744,1.3555555555555556,1.2444444444444445,False,0.828,0.6271,False,0.0414
30.76923076923077,0.66,1.6888888888888889,1.2444444444444445,False,0.7131,0.5765,False,0.035655
31.153846153846153,0.44000000000000006,0.9111111111111112,0.9333333333333333,False,0.6573,0.6233,False,0.032865
31.153846153846153,0.4456410256410257,1.5777777777777777,1.0888888888888888,False,1.0749,0.4963,False,0.053745
31.153846153846153,0.45128205128205134,1.0222222222222221,1.0888888888888888,False,1.5058,0.351,False,0.07529
31.153846153846153,0.456923076923077,1.0222222222222221,1.0888888888888888,False,1.0645,0.3342,False,0.053225
31.153846153846153,0.46256410256410263,1.6888888888888889,1.3222222222222222,False,1.0759,0.5155,False,0.053795
31.153846153846153,0.4682051282051283,0.9111111111111112,0.8555555555555555,False,0.9174,0.37,False,0.04587
31.153846153846153,0.4738461538461539,1.4666666666666668,0.7777777777777777,False,0.9286,0.539,False,0.04643
31.153846153846153,0.47948717948717956,1.2444444444444445,1.3222222222222222,False,0.8146,0.544,False,0.04073
31.153846153846153,0.4851282051282052,1.4666666666666668,1.3222222222222222,False,0.9972,0.6792,False,0.04986
31.153846153846153,0.49076923076923085,1.0222222222222221,0.8555555555555555,False,1.3409,0.4328,False,0.067045
31.153846153846153,0.4964102564102565,1.0222222222222221,1.0888888888888888,False,1.5568,0.3203,False,0.07783999999999999
31.153846153846153,0.5020512820512821,1.3555555555555556,1.2444444444444445,False,0.9806,0.5407,False,0.049030000000000004
31.153846153846153,0.5076923076923078,1.3555555555555556,1.4,False,1.2436,0.3628,False,0.06218
31.153846153846153,0.5133333333333334,1.8,0.8555555555555555,False,1.0988,0.4058,False,0.05494
31.153846153846153,0.5189743589743591,1.4666666666666668,1.4,False,2.4144,0.3642,True,0.12072000000000001
31.153846153846153,0.5246153846153847,0.8,0.9333333333333333,False,1.2578,0.4223,False,0.06289
31.153846153846153,0.5302564102564103,1.0222222222222221,0.9333333333333333,False,1.0055,0.5334,False,0.050275
31.153846153846153,0.535897435897436,1.2444444444444445,1.011111111111111,False,1.0317,0.6002,False,0.051585000000000006
31.153846153846153,0.5415384615384616,1.4666666666666668,1.1666666666666665,False,1.9147,0.3844,False,0.095735
31.153846153846153,0.5471794871794873,1.0222222222222221,1.1666666666666665,False,1.1604,0.421,False,0.05802
31.153846153846153,0.5528205128205128,0.9111111111111112,1.3222222222222222,False,0.7537,0.7419,False,0.037685
