Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT,Avg_Velocity,Passed
-0.059,-0.0006,29.21,11.68,1.33,0.756,38.19,0.694,True,0.3137,1.2286,0.11591811708698209,False
-0.0163,-0.0123,27.16,6.64,1.629,1.01,32.92,0.595,False,0.3271,2.1429,0.01635340575678757,False
-0.0655,-0.0068,37.09,5.7,0.968,1.048,21.09,0.612,False,0.0531,13.3736,0.002654663848385695,False
-0.0154,0.0038,32.22,7.46,1.41,0.892,27.88,0.768,False,0.0512,9.8674,0.0025577982945076978,False
-0.0348,-0.0125,22.33,6.37,1.31,1.314,31.25,0.548,False,0.0522,9.8137,0.002608883586261829,False
-0.0023,0.0047,24.17,11.89,0.897,0.957,20.01,0.627,False,0.028,7.0929,0.0013980652990553408,False
-0.0663,0.0085,28.84,12.81,1.679,1.24,32.79,0.62,False,0.3711,6.0424,0.018553844850555865,False
-0.0243,-0.0175,38.34,14.81,1.149,1.288,34.38,0.77,True,0.9192,0.3798,0.2921863772251588,False
-0.0156,-0.0004,38.22,5.5,0.918,1.247,39.97,0.663,False,0.0494,19.1659,0.002468922540542149,False
-0.0393,-0.0054,42.12,2.14,1.048,1.129,26.79,0.755,False,0.0673,11.2422,0.003366308428428417,False
-0.0282,-0.0153,38.01,2.17,0.95,0.749,21.47,0.48,False,0.1508,2.999,0.00754152645161518,False
0.0107,-0.0099,25.59,12.32,1.642,0.76,35.47,0.751,True,0.8124,0.7028,0.127219625164173,False
-0.0409,-0.0007,27.03,14.3,1.778,1.222,26.83,0.526,False,0.4541,2.7224,0.022707026635372475,False
-0.0088,-0.0155,21.43,9.18,1.334,1.232,26.85,0.688,False,0.1285,3.242,0.0064261626767059595,False
-0.0557,-0.0193,28.94,8.72,0.882,1.334,34.19,0.796,True,0.2232,3.5091,0.0498685907293618,False
-0.0567,-0.009,22.28,13.62,1.675,1.037,27.06,0.638,False,1.9915,0.742,0.0995767780010306,False
-0.0478,-0.0086,20.75,14.63,0.957,0.846,39.72,0.56,True,0.1704,10.6552,0.01046566799742493,False
-0.0283,-0.0189,38.44,7.48,0.88,0.745,27.01,0.652,True,1.0885,0.9474,0.06249320568170782,False
0.0098,-0.0116,34.12,2.8,1.746,1.112,22.95,0.458,False,0.0716,1.7313,0.0035785846591355505,False
-0.052,-0.016,34.72,6.92,0.922,0.741,24.69,0.492,False,0.1056,8.0033,0.005281328007342414,False
-0.0494,-0.0059,22.92,6.86,1.61,1.234,36.27,0.529,True,1.5392,0.6247,0.11372672366143993,False
-0.0182,-0.0113,28.57,8.65,0.904,0.911,37.28,0.456,True,0.7572,0.9553,0.06040006992218688,False
-0.0036,0.0017,38.76,6.49,0.994,0.768,21.96,0.643,False,0.1598,1.3112,0.007990137146490136,False
-0.0696,-0.0039,40.18,10.07,1.631,0.727,32.06,0.702,False,3.7167,0.6611,0.18583257424959573,True
-0.0273,-0.0103,32.88,11.16,1.17,0.706,24.04,0.764,False,0.1706,4.4127,0.00852910050696361,False
-0.0675,-0.0103,43.63,9.38,0.81,1.166,26.53,0.719,True,0.7421,2.1882,0.04701871809168595,False
0.0008,-0.0118,20.68,8.45,0.818,1.07,35.6,0.587,False,0.1253,3.3353,0.006265229682336188,False
-0.0343,-0.0164,29.31,5.52,1.006,0.87,36.4,0.637,True,0.7714,0.4648,0.13662435550549695,False
0.0077,-0.0007,27.5,12.2,0.868,0.802,23.7,0.409,False,0.1594,0.7895,0.007968416131029667,False
-0.0404,-0.0174,26.29,6.29,1.374,1.293,31.66,0.736,True,0.7071,0.8472,0.146767754189825,False
-0.0388,-0.008,43.41,5.68,1.756,1.233,39.89,0.688,True,0.3434,3.5389,0.024482979741057006,False
-0.0678,0.0086,41.41,3.12,1.074,0.998,25.5,0.648,False,0.1672,10.0618,0.008361585118180654,False
-0.0142,-0.0089,26.19,14.09,1.623,1.184,24.56,0.416,False,0.1472,3.0397,0.007361019578629983,False
-0.0411,-0.0093,44.77,4.63,1.392,0.72,24.43,0.758,True,0.914,0.973,0.09234342863959272,False
0.008,0.0011,39.52,14.1,1.608,0.926,29.89,0.759,False,0.1901,2.7043,0.009506435726325221,False
-0.0308,-0.0057,34.92,2.25,1.252,1.157,22.05,0.615,False,0.1743,1.9803,0.008715476624168701,False
-0.0165,0.0036,28.35,11.31,1.241,1.219,39.21,0.549,False,0.1862,6.3853,0.00930827834192591,False
-0.0499,-0.0064,39.48,10.88,1.482,1.106,27.72,0.646,True,0.525,2.9368,0.0297256063085036,False
-0.0504,0.0063,29.07,9.79,1.732,1.06,36.83,0.5,True,0.3155,1.048,0.10878004972631213,False
0.0128,-0.0096,40.88,14.73,1.012,0.935,23.98,0.575,True,1.014,0.3072,0.11460117593797337,False
0.0015,-0.0001,20.73,5.29,1.719,0.758,25.15,0.555,False,0.0752,1.1774,0.003758646723046915,False
-0.0315,-0.0117,22.53,12.08,1.06,1.381,39.81,0.454,True,0.8324,0.5975,0.10748501826092269,False
-0.0487,0.0099,40.74,9.94,1.148,1.025,31.16,0.725,False,1.3664,1.3583,0.0683185933894438,False
0.0144,-0.0142,29.12,8.68,0.842,0.965,27.79,0.609,True,1.0837,0.2771,0.11990969518584714,False
-0.0312,-0.0152,42.29,12.83,1.101,0.873,32.81,0.778,True,0.6895,0.4638,0.25422463535424616,False
0.0227,0.0089,41.38,3.27,1.35,1.254,23.77,0.517,False,0.0271,8.5161,0.0013565587390923838,False
-0.0133,-0.0017,28.55,6.91,1.143,0.803,25.76,0.442,False,0.0616,5.0202,0.0030786453118124726,False
-0.0369,-0.0004,43.48,5.15,1.771,0.872,23.08,0.543,True,0.6793,0.2291,0.3476298604853526,False
-0.0252,-0.0085,25.45,10.72,1.32,1.316,36.96,0.518,False,0.4708,2.6839,0.02353769404245084,False
-0.0298,-0.0138,25.42,4.86,1.275,0.78,28.82,0.468,False,0.0982,4.4851,0.0049115432339075765,False
-0.0161,-0.0091,26.25,4.81,1.345,1.154,25.7,0.454,False,0.1087,1.718,0.005435289956221222,False
0.019,-0.0075,39.62,13.77,1.443,1.29,39.57,0.56,True,1.483,0.2549,0.28376592472148865,False
-0.0066,-0.0177,30.81,10.81,0.891,0.901,21.18,0.59,False,0.0757,4.4778,0.003782607860739844,False
-0.0419,-0.0106,40.0,6.7,1.442,1.056,32.59,0.693,True,0.5359,3.7398,0.03502353861660747,False
0.0118,-0.0151,42.56,2.4,1.46,0.796,22.78,0.671,False,0.1421,1.4362,0.0071044550892602875,False
-0.0502,0.0011,32.65,13.26,1.773,1.305,35.09,0.8,True,1.5491,1.1243,0.13197303384182932,False
-0.0213,-0.0145,44.43,10.24,1.695,0.982,26.97,0.717,True,0.7684,0.6126,0.09766033653251023,False
0.0156,0.0015,26.12,11.12,0.825,1.05,23.12,0.408,False,0.2043,0.7328,0.010214661704267715,False
