Foot_Scale,Wait_For_Settle,Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT,Settle_Time_S,Passed
y10pct,True,-0.0047,-0.0144,21.72,12.37,1.189,1.141,29.76,0.405,False,0.2317,3.1667,0.3,False
y10pct,False,-0.0047,-0.0144,21.72,12.37,1.189,1.141,29.76,0.405,False,0.2821,2.5295,0.0,False
y10pct,True,-0.0253,-0.009,35.97,9.13,1.641,0.709,24.47,0.549,False,0.5,2.1226,0.3,False
y10pct,False,-0.0253,-0.009,35.97,9.13,1.641,0.709,24.47,0.549,False,0.5081,2.151,0.0,False
y10pct,True,-0.0595,-0.0053,27.99,4.71,0.943,1.08,36.31,0.789,False,0.3704,5.2817,0.3,False
y10pct,False,-0.0595,-0.0053,27.99,4.71,0.943,1.08,36.31,0.789,False,0.3,6.2433,0.0,False
y10pct,True,-0.0102,-0.0112,20.66,3.04,1.14,0.889,32.28,0.672,False,0.0626,4.7183,0.3,False
y10pct,False,-0.0102,-0.0112,20.66,3.04,1.14,0.889,32.28,0.672,False,0.0703,4.1161,0.0,False
y10pct,True,-0.0157,0.0007,24.07,13.58,1.767,1.368,22.28,0.62,False,0.2035,4.0029,0.3,False
y10pct,False,-0.0157,0.0007,24.07,13.58,1.767,1.368,22.28,0.62,False,0.0999,8.3439,0.0,False
y10pct,True,0.0241,0.0047,42.93,10.67,1.346,1.052,33.16,0.751,False,0.4283,1.278,0.3,False
y10pct,False,0.0241,0.0047,42.93,10.67,1.346,1.052,33.16,0.751,False,0.2212,2.5725,0.0,False
y10pct,True,0.0155,-0.0102,36.91,5.7,1.018,1.168,31.59,0.462,False,0.0834,8.4851,0.3,False
y10pct,False,0.0155,-0.0102,36.91,5.7,1.018,1.168,31.59,0.462,False,0.0535,13.0412,0.0,False
y10pct,True,-0.0027,-0.004,44.87,8.61,1.255,0.784,39.86,0.572,False,0.3795,3.4108,0.3,False
y10pct,False,-0.0027,-0.004,44.87,8.61,1.255,0.784,39.86,0.572,False,0.326,4.0269,0.0,False
y10pct,True,-0.0492,-0.0166,32.18,9.82,1.42,0.98,27.71,0.755,False,0.2979,6.7581,0.3,False
y10pct,False,-0.0492,-0.0166,32.18,9.82,1.42,0.98,27.71,0.755,False,0.2779,7.148,0.0,False
y10pct,True,-0.0413,-0.016,41.21,13.24,1.539,1.004,26.85,0.524,False,0.8728,2.351,0.3,False
y10pct,False,-0.0413,-0.016,41.21,13.24,1.539,1.004,26.85,0.524,False,1.0375,1.9806,0.0,False
y10pct,True,0.0059,0.0064,38.16,2.32,0.898,1.312,35.19,0.506,False,0.2131,3.9775,0.3,False
y10pct,False,0.0059,0.0064,38.16,2.32,0.898,1.312,35.19,0.506,False,0.2102,3.9946,0.0,False
y10pct,True,-0.0249,-0.0069,30.9,11.86,1.059,0.781,37.45,0.651,False,0.4336,4.0841,0.3,False
y10pct,False,-0.0249,-0.0069,30.9,11.86,1.059,0.781,37.45,0.651,False,0.3594,4.9736,0.0,False
y15pct,True,0.0099,-0.0184,26.71,6.76,1.461,1.244,20.17,0.683,False,0.0574,3.3023,0.3,False
y15pct,False,0.0099,-0.0184,26.71,6.76,1.461,1.244,20.17,0.683,False,0.1528,1.2511,0.0,False
y15pct,True,-0.0584,0.0018,39.93,6.49,1.597,1.226,38.39,0.428,True,1.9082,0.7749,0.3,False
y15pct,False,-0.0584,0.0018,39.93,6.49,1.597,1.226,38.39,0.428,True,1.1428,0.3695,0.0,False
y15pct,True,-0.0344,0.0069,30.2,7.69,1.272,1.322,28.44,0.721,False,0.2274,5.834,0.3,False
y15pct,False,-0.0344,0.0069,30.2,7.69,1.272,1.322,28.44,0.721,False,0.2184,5.9468,0.0,False
y15pct,True,-0.0423,-0.0009,34.42,14.4,0.815,0.907,22.98,0.478,False,1.3351,0.7668,0.3,False
y15pct,False,-0.0423,-0.0009,34.42,14.4,0.815,0.907,22.98,0.478,False,1.4994,0.676,0.0,False
y15pct,True,-0.0655,0.0098,25.34,4.04,1.728,0.837,25.33,0.601,False,0.399,1.8291,0.3,False
y15pct,False,-0.0655,0.0098,25.34,4.04,1.728,0.837,25.33,0.601,False,0.43,1.6476,0.0,False
y15pct,True,-0.0047,-0.0144,21.72,12.37,1.189,1.141,29.76,0.405,False,0.3222,2.2406,0.3,False
y15pct,False,-0.0047,-0.0144,21.72,12.37,1.189,1.141,29.76,0.405,False,0.3175,2.2763,0.0,False
y15pct,True,-0.0253,-0.009,35.97,9.13,1.641,0.709,24.47,0.549,False,0.3738,2.9875,0.3,False
y15pct,False,-0.0253,-0.009,35.97,9.13,1.641,0.709,24.47,0.549,False,0.4685,2.4459,0.0,False
y15pct,True,-0.0595,-0.0053,27.99,4.71,0.943,1.08,36.31,0.789,False,0.3463,5.6603,0.3,False
y15pct,False,-0.0595,-0.0053,27.99,4.71,0.943,1.08,36.31,0.789,False,0.2945,6.5536,0.0,False
y15pct,True,-0.0102,-0.0112,20.66,3.04,1.14,0.889,32.28,0.672,False,0.0285,10.702,0.3,False
y15pct,False,-0.0102,-0.0112,20.66,3.04,1.14,0.889,32.28,0.672,False,0.0355,8.3633,0.0,False
y15pct,True,-0.0157,0.0007,24.07,13.58,1.767,1.368,22.28,0.62,False,0.3282,2.6503,0.3,False
y15pct,False,-0.0157,0.0007,24.07,13.58,1.767,1.368,22.28,0.62,False,0.2521,3.3009,0.0,False
y15pct,True,0.0241,0.0047,42.93,10.67,1.346,1.052,33.16,0.751,False,0.3533,1.5888,0.3,False
y15pct,False,0.0241,0.0047,42.93,10.67,1.346,1.052,33.16,0.751,False,0.2471,2.1056,0.0,False
y15pct,True,0.0155,-0.0102,36.91,5.7,1.018,1.168,31.59,0.462,False,0.2259,3.0018,0.3,False
y15pct,False,0.0155,-0.0102,36.91,5.7,1.018,1.168,31.59,0.462,False,0.1081,6.7165,0.0,False
y15pct,True,-0.0027,-0.004,44.87,8.61,1.255,0.784,39.86,0.572,False,0.5863,2.1509,0.3,False
y15pct,False,-0.0027,-0.004,44.87,8.61,1.255,0.784,39.86,0.572,False,0.2097,6.0865,0.0,False
y15pct,True,-0.0492,-0.0166,32.18,9.82,1.42,0.98,27.71,0.755,False,0.2853,7.0836,0.3,False
y15pct,False,-0.0492,-0.0166,32.18,9.82,1.42,0.98,27.71,0.755,False,0.2543,7.7459,0.0,False
y15pct,True,-0.0413,-0.016,41.21,13.24,1.539,1.004,26.85,0.524,False,0.9509,2.2412,0.3,False
y15pct,False,-0.0413,-0.016,41.21,13.24,1.539,1.004,26.85,0.524,False,1.274,1.7083,0.0,False
y15pct,True,0.0059,0.0064,38.16,2.32,0.898,1.312,35.19,0.506,False,0.2249,3.8047,0.3,False
y15pct,False,0.0059,0.0064,38.16,2.32,0.898,1.312,35.19,0.506,False,0.2863,3.0337,0.0,False
y15pct,True,-0.0249,-0.0069,30.9,11.86,1.059,0.781,37.45,0.651,False,0.4132,4.3198,0.3,False
y15pct,False,-0.0249,-0.0069,30.9,11.86,1.059,0.781,37.45,0.651,False,0.3636,4.8518,0.0,False
